Price,Close,High,Low,Open,Volume
Ticker,AAPL.BA,AAPL.BA,AAPL.BA,AAPL.BA,AAPL.BA
Date,,,,,
2020-08-10,1458.7484130859375,1472.3722308416027,1412.3774370551876,1429.8759185762253,23720
2020-08-11,1423.501708984375,1459.8735587793046,1413.7525533692392,1459.8735587793046,21040
2020-08-12,1489.745849609375,1499.869971919834,1431.1259315401749,1431.1259315401749,82680
2020-08-13,1506.1192626953125,1537.366550303099,1488.620781634952,1537.366550303099,28960
2020-08-14,1467.372802734375,1517.9934147537467,1442.374969638389,1517.9934147537467,68004
2020-08-18,1492.9957275390625,1512.1190717260424,1466.1230543351362,1512.1190717260424,35708
2020-08-19,1535.36669921875,1538.616417077728,1499.8697810668348,1523.8676975639041,34656
2020-08-20,1583.6129150390625,1587.3625904495734,1547.3660527374582,1547.3660527374582,59292
2020-08-21,1683.2288818359375,1686.853567183323,1613.7349144860614,1636.357950619744,106812
2020-08-24,1682.7288818359375,1749.3480970196672,1656.231182738469,1724.8502242691775,173452
2020-08-25,1652.9815673828125,1681.8540620569472,1624.8590076352789,1681.8540620569472,80108
2020-08-26,1625.98388671875,1674.8546454017412,1581.4877483782261,1674.8546454017412,37544
2020-08-27,1574.48828125,1649.8567367230291,1563.8642037786774,1626.1087988459553,91572
2020-08-28,1581.8629150390625,1599.8613552860304,1505.3695439894493,1574.8635216096861,56420
2020-08-31,1678.8541259765625,1689.8531702801613,1616.3595560697518,1662.3555595211644,77338
2020-09-01,1705.3521728515625,1787.8450220220427,1670.8551631984526,1787.8450220220427,63046
2020-09-02,1650.8568115234375,1699.8525618351566,1617.8596735584022,1699.8525618351566,57889
2020-09-03,1500.86962890625,1629.858424461817,1487.3708014643883,1629.858424461817,187170
2020-09-04,1523.36767578125,1538.8663295223787,1329.8844823032903,1439.8749282080735,170816
2020-09-07,1542.3663330078125,1574.8635166854488,1523.3679794731945,1559.8648165265397,27550
2020-09-08,1396.8787841796875,1489.870714694155,1379.8802592469353,1489.870714694155,146476
