Price,Close,High,Low,Open,Volume
Ticker,ADBE.BA,ADBE.BA,ADBE.BA,ADBE.BA,ADBE.BA
Date,,,,,
2020-08-13,5050.0,5050.0,5050.0,5050.0,0
2020-08-14,5244.0,5438.0,5212.0,5438.0,30
2020-08-18,5351.0,5450.0,5250.0,5450.0,21
2020-08-19,5602.5,5629.5,5448.0,5491.5,225
2020-08-20,5850.0,5850.0,5605.0,5605.0,134
2020-08-21,5890.0,5894.0,5710.0,5849.0,44
2020-08-24,5789.0,5905.5,5627.5,5905.5,55
2020-08-25,5813.0,5839.0,5800.0,5839.0,38
2020-08-26,6226.0,6242.5,5733.0,5733.0,109
2020-08-27,5920.0,6225.0,5600.0,6225.0,102
2020-08-28,5942.0,5975.5,5864.0,5975.5,48
2020-08-31,5894.5,6000.0,5789.0,5911.0,26
2020-09-01,6070.0,6212.0,5990.0,6212.0,72
2020-09-02,5999.0,6228.5,5941.5,6115.0,23
2020-09-03,5697.5,6238.0,5500.0,5999.0,33
2020-09-04,5450.0,5600.0,4850.0,5425.0,55
2020-09-07,5450.0,5450.0,5450.0,5450.0,6
2020-09-08,5200.5,5300.0,5192.5,5300.0,18
2020-09-09,5469.0,5600.0,5280.0,5486.0,10
2020-09-10,5636.5,5972.5,5500.0,5500.0,123
2020-09-11,5710.0,5711.0,5585.0,5585.0,42
2020-09-14,5925.0,5950.0,5750.0,5750.0,121
2020-09-15,5873.5,6800.0,5770.0,5970.0,201
2020-09-16,5973.5,6068.0,5750.0,5900.0,173
2020-09-17,5549.0,5996.0,5358.0,5996.0,123
2020-09-18,5681.0,5685.0,5380.0,5431.0,73
2020-09-21,5880.0,5925.0,5676.5,5676.5,35
2020-09-22,6406.5,6450.0,5920.0,5920.0,230
2020-09-23,6383.0,6807.0,6350.0,6506.0,1180
2020-09-24,6134.5,6383.0,6040.5,6383.0,53
2020-09-25,6470.0,6479.5,6134.0,6134.0,46
2020-09-28,6400.0,6500.0,6255.0,6475.0,72
2020-09-29,6606.5,6631.0,6380.5,6380.5,171
2020-09-30,6557.5,6735.5,6530.0,6735.5,179
2020-10-01,6610.0,6656.5,6558.0,6558.0,47
2020-10-02,6610.0,6705.0,6350.0,6610.0,127
2020-10-05,6735.0,6840.5,6611.0,6611.0,191
2020-10-06,6606.0,7000.0,6550.0,7000.0,64
2020-10-07,6841.0,7150.0,6650.0,7150.0,139
2020-10-08,6843.0,6900.0,6750.0,6900.0,121
2020-10-09,7191.5,7400.0,6855.0,7050.0,134
2020-10-13,7550.0,7556.0,7250.0,7250.0,169
