Price,Close,High,Low,Open,Volume
Ticker,AMZN.BA,AMZN.BA,AMZN.BA,AMZN.BA,AMZN.BA
Date,,,,,
2020-08-10,280.5,283.54998779296875,270.0,283.54998779296875,125140
2020-08-11,278.75,282.95001220703125,275.3500061035156,282.75,89880
2020-08-12,289.7250061035156,292.04998779296875,279.04998779296875,280.0,176280
2020-08-13,288.4750061035156,298.5,287.0,298.5,117440
2020-08-14,280.17498779296875,295.0,277.6499938964844,295.0,234560
2020-08-18,299.54998779296875,300.0,287.5,290.0,121540
2020-08-19,300.5,301.5,294.0,299.70001220703125,159280
2020-08-20,311.20001220703125,314.95001220703125,302.5,307.45001220703125,365080
2020-08-21,307.8500061035156,316.25,305.5,316.25,466880
2020-08-24,306.3500061035156,318.3500061035156,301.75,316.25,292340
2020-08-25,310.375,312.45001220703125,304.0,309.8999938964844,152900
2020-08-26,308.9750061035156,311.5,295.0,311.5,199000
2020-08-27,297.79998779296875,308.0,295.5,307.95001220703125,216000
2020-08-28,297.9750061035156,300.0,284.70001220703125,300.0,106160
2020-08-31,309.8999938964844,311.0,299.5,300.0,161520
2020-09-01,308.54998779296875,315.0,306.0,310.75,126700
2020-09-02,306.5,315.0,305.0,312.5,124340
2020-09-03,287.75,304.25,285.5,304.25,399860
2020-09-04,286.7749938964844,288.75,255.8000030517578,283.0,262280
2020-09-07,288.75,295.0,286.7749938964844,286.79998779296875,57320
2020-09-08,267.54998779296875,280.0,266.25,280.0,169660
2020-09-09,288.8999938964844,290.0,269.25,269.25,173680
2020-09-10,284.04998779296875,301.5,280.5,295.0,182300
2020-09-11,280.0249938964844,287.5,277.0,287.5,133440
2020-09-14,280.07501220703125,289.95001220703125,277.6000061035156,289.95001220703125,68160
2020-09-15,283.1499938964844,289.45001220703125,278.75,287.3999938964844,147400
2020-09-16,285.5,294.8500061035156,285.0,292.45001220703125,228460
2020-09-17,276.70001220703125,284.3999938964844,271.67498779296875,284.3999938964844,146580
2020-09-18,277.2749938964844,279.8500061035156,270.8500061035156,279.8500061035156,99380
2020-09-21,288.25,289.25,270.0,277.20001220703125,107240
2020-09-22,317.1499938964844,318.75,290.0,293.6000061035156,238280
2020-09-23,313.125,318.75,307.6000061035156,316.95001220703125,269720
2020-09-24,302.79998779296875,319.5,297.32501220703125,317.5,189660
2020-09-25,313.54998779296875,315.0,303.5,305.0,164360
2020-09-28,321.375,322.29998779296875,311.79998779296875,316.04998779296875,144340
2020-09-29,323.29998779296875,325.0,318.1499938964844,322.5,213280
2020-09-30,318.75,331.2749938964844,317.5,325.0,234240
