Price,Close,High,Low,Open,Volume
Ticker,CVX.BA,CVX.BA,CVX.BA,CVX.BA,CVX.BA
Date,,,,,
2020-08-13,1479.023193359375,1484.0198933369404,1469.029793404244,1479.023193359375,184
2020-08-14,1450.0421142578125,1495.0124072568487,1424.059278302814,1495.0124072568487,266
2020-08-18,1400.57470703125,1449.0426865467803,1377.090222111354,1449.0426865467803,199
2020-08-19,1424.059326171875,1431.5543752569902,1370.094972759046,1399.0758292214912,2145
2020-08-20,1417.0638427734375,1461.0347941712027,1409.0691243374802,1424.0592214049002,256
2020-08-21,1421.0615234375,1424.0595435291402,1394.5790126280108,1399.0760427654711,239
2020-08-24,1451.04150390625,1473.0269812381628,1420.0619676658273,1462.0342425722065,385
2020-08-25,1412.0672607421875,1466.0316146559016,1403.572871700214,1459.0362354448646,2002
2020-08-26,1373.0928955078125,1474.0262160655193,1359.1021382027839,1474.0262160655193,249
2020-08-27,1322.6260986328125,1380.5878014818516,1309.1350126248465,1380.5878014818516,501
2020-08-28,1330.620849609375,1345.1112756847306,1263.665087743939,1322.626131774696,306
2020-08-31,1359.1021728515625,1359.1021728515625,1299.1417828728172,1330.121317695169,134
2020-09-01,1344.1121826171875,1364.0989808717181,1294.145186980861,1359.1022813080854,4859
2020-09-02,1303.6387939453125,1364.0988529975864,1299.141764759606,1364.0988529975864,184
2020-09-03,1259.16796875,1361.1006138392856,1257.1692894345238,1349.1085379464284,16957
2020-09-04,1259.16796875,1309.1349516369046,1254.1712704613094,1299.1415550595239,340
2020-09-07,1303.1390380859375,1304.138377839071,1268.162146726269,1268.162146726269,49
2020-09-08,1238.181884765625,1259.1680184057204,1194.2109380911395,1259.1680184057204,226
2020-09-09,1264.6644287109375,1271.6598068231276,1234.184566936395,1238.1819258576463,207
2020-09-10,1260.167236328125,1279.154688739096,1254.1711987246604,1265.1639343310121,8640
2020-09-11,1258.1689453125,1265.663994629294,1234.1847874987589,1234.1847874987589,218
2020-09-14,1253.671875,1260.167584196891,1235.1840872857713,1254.1715449382225,221
2020-09-15,1214.697998046875,1259.1686363957733,1211.2003073902201,1249.1752345196164,156
2020-09-16,1305.1375732421875,1316.130309310843,1215.1970054077335,1259.1679496823556,146
2020-09-17,1286.150390625,1293.6454395214162,1258.6685446714744,1272.1596326850233,151
2020-09-18,1335.617919921875,1344.1123099849772,1286.1505895543983,1286.1505895543983,269
2020-09-21,1299.6417236328125,1339.1156552617983,1261.1671320450666,1339.1156552617983,48
2020-09-22,1364.098876953125,1376.0909549922733,1300.6407973292983,1300.6407973292983,1169
2020-09-23,1354.60546875,1379.089300534858,1344.6120680214865,1349.1090983493177,266
2020-09-24,1288.6485595703125,1360.1013490307835,1249.174640917325,1360.1013490307835,407
2020-09-25,1304.1387939453125,1305.6378040532957,1256.670140525847,1256.670140525847,2230
2020-09-28,1340.6142578125,1354.6050141370433,1302.1396779200056,1305.1376971324078,159
2020-09-29,1329.1220703125,1359.102267387218,1299.141873237782,1359.102267387218,63
2020-09-30,1322.6260986328125,1340.6142133101005,1319.1284096677844,1334.118505232191,218
2020-10-01,1292.6461181640625,1349.1088206582795,1275.1576704888625,1319.128624643651,259
2020-10-02,1334.6185302734375,1334.6185302734375,1297.642951374061,1299.1419613294413,188
2020-10-05,1375.091552734375,1399.075707723928,1335.6176309807356,1349.108718162359,411
2020-10-06,1385.5848388671875,1419.0627271485077,1379.0891292006627,1399.0759281745852,699
2020-10-07,1389.082275390625,1399.0756730553057,1364.0987812289231,1399.0756730553057,839
2020-10-08,1449.04296875,1451.0416487068965,1399.075969827586,1419.0627693965516,262
2020-10-09,1533.9866943359375,1543.9800929961066,1429.0560084041633,1469.0296030448392,6352
2020-10-13,1489.0164794921875,1533.9867758526898,1445.0455230508076,1533.9867758526898,2344
2020-10-14,1501.0084228515625,1520.9952194274822,1491.0150245636028,1520.9952194274822,793
2020-10-15,1572.9609375,1584.9530158036848,1503.0071473951716,1504.0064872538119,801
2020-10-16,1539.48291015625,1578.956830929487,1512.500736463151,1578.956830929487,460
2020-10-19,1489.0164794921875,1596.445520797832,1452.5405724442246,1575.9590524558253,439
2020-10-20,1516.498291015625,1522.9940003346376,1415.0652916495058,1479.0230449443986,732
2020-10-21,1575.459228515625,1622.4282001237661,1505.0057711034135,1523.99322771096,979
2020-10-22,1679.8902587890625,1685.8862977853353,1568.963537358018,1575.4592462706466,672
2020-10-23,1638.9176025390625,1700.8766826350513,1576.9585224430734,1679.890542602539,738
2020-10-26,1489.0164794921875,1648.9108665517513,1453.5399123633467,1648.9108665517513,271
