Price,Close,High,Low,Open,Volume
Ticker,DISN.BA,DISN.BA,DISN.BA,DISN.BA,DISN.BA
Date,,,,,
2020-08-13,1418.0784912109375,1462.3882592590517,1410.610552775862,1462.0564319164773,11087
2020-08-14,1383.394287109375,1426.5422991809637,1378.7474883581656,1426.5422991809637,12647
2020-08-18,1390.8621826171875,1394.015271882665,1346.8842388409464,1384.0580199406459,12059
2020-08-19,1404.304443359375,1440.4823769595064,1375.0964644243525,1410.610621758398,12869
2020-08-20,1423.38916015625,1427.2061472368976,1400.65339445163,1402.3130174685125,14495
2020-08-21,1433.180419921875,1441.1462210116706,1394.0151907142208,1394.0151907142208,10877
2020-08-24,1455.7501220703125,1476.9922984306345,1413.929667127116,1460.3967987700644,16001
2020-08-25,1420.0699462890625,1453.7586869713384,1410.6105575724682,1453.7586869713384,16544
2020-08-26,1415.7552490234375,1460.3968455304982,1362.6498671964898,1423.223187645267,19379
2020-08-27,1401.4832763671875,1460.3969792625514,1394.0153370615008,1417.2489665286896,14888
2020-08-28,1438.490966796875,1443.8015417193612,1360.8244011043853,1403.9725336719305,9467
2020-08-31,1405.134033203125,1438.822773018328,1377.4197655510052,1438.822773018328,11807
2020-09-01,1400.6533203125,1427.2060716922817,1385.7174432420522,1403.9724446220923,9311
2020-09-02,1415.9212646484375,1439.486721035706,1389.0366836741,1427.2061910056805,10739
2020-09-03,1370.4498291015625,1433.8442932160158,1350.5353250291178,1418.9084151616823,17606
2020-09-04,1359.330810546875,1390.6961543206407,1236.856611049314,1390.6961543206407,11492
2020-09-07,1386.38134765625,1423.886954185058,1359.4967688010076,1361.1562701894925,3581
2020-09-08,1387.2110595703125,1411.108463376085,1377.4198432099904,1386.381369637155,18848
2020-09-09,1410.776611328125,1420.5678275170626,1349.7054288217519,1387.0451216146812,8810
2020-09-10,1430.1932373046875,1453.7586915603977,1397.3343079748977,1410.6105620253225,57596
2020-09-11,1420.0699462890625,1436.6654461224236,1401.151168855874,1433.844184410087,25571
2020-09-14,1416.9168701171875,1445.7928990935743,1409.6148452621715,1423.886946077005,53633
2020-09-15,1413.265869140625,1446.124797518695,1387.5429301466847,1446.124797518695,57908
2020-09-16,1465.8734130859375,1504.706696018451,1443.8015449267823,1460.3969244672498,27629
2020-09-17,1426.376220703125,1476.992287666573,1406.1297696080508,1476.992287666573,13136
2020-09-18,1460.894775390625,1463.2181746961423,1390.6961491122458,1410.6106530210059,27863
2020-09-21,1462.222412109375,1467.0351242804186,1405.9639400057456,1434.674056256207,6512
2020-09-22,1539.2252197265625,1543.3740341408873,1447.1206402697676,1470.686095758768,8723
2020-09-23,1538.3953857421875,1551.671761841884,1483.6305014601032,1530.097635486317,15764
2020-09-24,1468.8604736328125,1536.7358173797313,1428.6996412740957,1536.7358173797313,12992
2020-09-25,1508.8555908203125,1520.4723440262467,1460.3968845472498,1468.8605485447763,25376
2020-09-28,1532.9189453125,1542.0463857958168,1499.7280647982325,1503.5450519141766,34013
2020-09-29,1547.35693359375,1561.6290350589743,1498.7323133325256,1521.800027759264,32051
2020-09-30,1513.668212890625,1550.5100451739609,1504.3748587523776,1543.2081414294073,39584
2020-10-01,1509.519287109375,1513.170238712434,1483.9623827910086,1505.2044377250495,45080
2020-10-02,1539.72314453125,1549.3484478427301,1493.5878353239686,1506.8642121541227,21425
2020-10-05,1561.794921875,1568.9309117106218,1526.7786274091584,1528.4381288352727,35117
2020-10-06,1521.634033203125,1580.3818205405257,1516.8214423914255,1553.9951024991508,16469
2020-10-07,1553.3311767578125,1562.4586164469617,1526.7785475858034,1550.3440014178937,11996
2020-10-08,1564.6162109375,1566.6076613029068,1549.8462468779042,1566.6076613029068,15017
2020-10-09,1623.69580078125,1641.1209912285342,1564.6161884875416,1584.8625192130169,17600
2020-10-13,1710.4898681640625,1723.7661222643558,1663.192924254132,1683.4392542990465,46163
2020-10-14,1740.527587890625,1749.1571654685063,1684.7669786675845,1710.3238840453173,27851
2020-10-15,1808.0709228515625,1812.717599609877,1725.923599606402,1732.561726625205,32999
2020-10-16,1789.650146484375,1829.645068462495,1775.7099935818037,1809.232701712301,35156
2020-10-19,1706.0091552734375,1788.9861712623845,1700.200717965788,1788.9861712623845,47576
2020-10-20,1773.552490234375,1785.8331415183427,1678.4607338836631,1708.9963876359366,30041
2020-10-21,1898.6820068359375,1908.4732234185844,1785.667198771628,1785.667198771628,28574
2020-10-22,1974.68896484375,1991.450379386414,1875.2824811050348,1925.0687405896952,32996
