Price,Close,High,Low,Open,Volume
Ticker,GE.BA,GE.BA,GE.BA,GE.BA,GE.BA
Date,,,,,
2020-08-13,6939.71923828125,7131.711470810068,6855.722636549892,7055.714545434078,565
2020-08-14,6831.7236328125,6947.718940395383,6679.729781497,6935.719425817842,1010
2020-08-18,6519.736328125,6919.72015193635,6495.737298696319,6919.72015193635,677
2020-08-19,6643.7314453125,6791.725463058775,6535.7358107408945,6791.725463058775,523
2020-08-20,6643.7314453125,6759.72675651904,6519.736457471026,6623.732253725166,732
2020-08-21,6675.73046875,6787.725946955512,6655.7312762133015,6655.7312762133015,660
2020-08-24,7091.7138671875,7119.712737503525,6599.733717348773,6799.725648177524,1792
2020-08-25,6863.72314453125,7103.713464270105,6767.727016635708,7095.713786945476,617
2020-08-26,6687.72998046875,6815.724812630831,6479.738378205368,6815.724812630831,423
2020-08-27,6483.7373046875,7035.714940743561,6447.738763205583,6695.728715636567,555
2020-08-28,6587.734375,6639.732278384942,6235.74856747116,6479.738729508197,459
2020-08-31,6403.740234375,6951.718005836196,6335.7429926608365,6951.718005836196,591
2020-09-01,6303.74560546875,6551.735597562064,6215.749156661445,6391.742054276056,560
2020-09-02,6471.7373046875,6559.733732810569,6331.742987218981,6511.735681107077,965
2020-09-03,6263.748046875,6719.72970545977,6215.749977550287,6719.72970545977,650
2020-09-04,6363.74169921875,6431.738939248115,6167.7496544282285,6399.740238057825,1389
2020-09-07,6459.73828125,6695.72872000774,6247.7468701625385,6695.72872000774,54
2020-09-08,6127.75244140625,6399.741453165797,6039.7559964252205,6399.741453165797,1022
2020-09-09,6199.75,6239.748387096774,5975.7590322580645,6071.755161290323,1115
2020-09-10,6195.75,6263.747256294383,6127.752743705617,6263.747256294383,242
2020-09-11,6147.75146484375,6263.746775501179,5999.757447798064,5999.757447798064,455
2020-09-14,6371.74169921875,6431.7392670080035,6163.75013088267,6279.745428608561,466
2020-09-15,6251.748046875,6431.740792946257,6183.750787248081,6423.74111534309,237
2020-09-16,7087.71435546875,7263.707262715152,6323.745144467322,6327.744983268376,1981
2020-09-17,7355.70263671875,7575.693743309033,7171.71007484324,7199.70894295473,3196
2020-09-18,7391.7021484375,7535.696346134335,7195.7100460168085,7319.705049589083,1792
2020-09-21,7083.71435546875,7103.713549018916,6799.725807056394,7079.714516758717,2253
2020-09-22,7247.70703125,7263.706384519867,6959.718672392384,7087.713498551325,1835
2020-09-23,7295.70556640625,7515.696688200298,7255.7071806255135,7279.706212093955,2683
2020-09-24,7007.716796875,7271.706128264127,6879.721969534818,7199.7090378852745,2031
2020-09-25,7187.79052734375,7199.790177639817,6983.796472310622,7079.793674679153,1293
2020-09-28,7223.7900390625,7363.785970052083,7199.790736607143,7359.786086309524,635
2020-09-29,7215.7900390625,7279.788176881236,7119.792832334396,7239.789340744526,396
2020-09-30,7267.7900390625,7479.7839147203495,7239.790847937878,7239.790847937878,1754
