Price,Close,High,Low,Open,Volume
Ticker,INTC.BA,INTC.BA,INTC.BA,INTC.BA,INTC.BA
Date,,,,,
2020-08-10,1273.027587890625,1274.527031457045,1224.5455792430432,1249.5363053500441,30775
2020-08-11,1257.5333251953125,1295.5192285000994,1239.5400025772556,1294.519599465763,18640
2020-08-12,1298.51806640625,1307.5147273744226,1239.0401411166642,1262.5314225335594,18725
2020-08-13,1274.0272216796875,1304.5159076437758,1256.0338988156354,1299.5177624037613,20010
2020-08-14,1261.5318603515625,1299.5177642290264,1245.5377955610513,1299.5177642290264,15282
2020-08-18,1254.5345458984375,1279.5252739043824,1247.037327496654,1261.5319497401022,11765
2020-08-19,1275.0267333984375,1282.5239505685577,1231.5428738117405,1264.5306293602691,15052
2020-08-20,1327.5074462890625,1329.506704491305,1299.5178314576667,1299.5178314576667,34112
2020-08-21,1331.0062255859375,1335.0047422230714,1306.5153111834925,1326.507894369162,30723
2020-08-24,1316.511474609375,1339.5029430345958,1294.5196352461205,1338.5033139726297,21088
2020-08-25,1309.513916015625,1337.5035264342796,1293.519852919251,1316.5113186202886,17740
2020-08-26,1282.5240478515625,1309.5140317112603,1259.5325801192273,1309.5140317112603,14203
2020-08-27,1246.0377197265625,1282.524183240417,1179.562382091732,1282.524183240417,20476
2020-08-28,1296.018798828125,1299.5174997890956,1247.5367997975318,1249.536057489515,18628
2020-08-31,1330.5062255859375,1339.5028867657072,1273.5273714473963,1309.514016166475,18727
2020-09-01,1302.016845703125,1330.5062738048825,1279.5251919385796,1330.5062738048825,16113
2020-09-02,1323.0091552734375,1348.4996981215468,1299.5178706879249,1339.503035939861,29555
2020-09-03,1243.5386962890625,1339.5030972888617,1239.5401795807377,1329.5068055180493,29787
2020-09-04,1266.0301513671875,1291.5206913276006,1209.5511118470563,1260.5321917678828,18244
2020-09-07,1273.5274658203125,1279.5252403846152,1240.5397057166465,1266.0302476149338,3328
2020-09-08,1206.05224609375,1262.531277924912,1199.5546583609614,1262.531277924912,11309
2020-09-09,1260.5321044921875,1272.5276518783146,1199.0549241382862,1200.5543675615522,9785
2020-09-10,1261.0321044921875,1289.5215337256614,1242.0391516698714,1289.5215337256614,59637
2020-09-11,1281.5244140625,1289.521446287539,1261.5318334999024,1264.530720584292,7958
2020-09-14,1299.5177001953125,1309.5139901968148,1273.5273461914062,1282.5240071927583,8829
2020-09-15,1298.0181884765625,1319.51021085026,1281.5243108409343,1299.5176318979832,15206
2020-09-16,1347.0001220703125,1365.9930736987621,1317.0112510780236,1348.499565619927,18618
2020-09-17,1318.0108642578125,1344.5010333157056,1293.0201387314983,1344.5010333157056,10192
2020-09-18,1343.00146484375,1349.4990528761166,1292.5202039769026,1346.0003516279191,4975
2020-09-21,1394.482421875,1404.4787116375448,1327.5072804659499,1343.5013440860216,13203
2020-09-22,1458.458740234375,1459.4583692544124,1369.4917574510582,1399.4806280521761,20109
2020-09-23,1455.9595947265625,1479.450875520297,1429.4694270229895,1449.4620064219125,14763
2020-09-24,1398.980712890625,1475.4523274216237,1374.9896181358017,1434.9673550228597,20155
2020-09-25,1449.9617919921875,1459.4582670173002,1408.4771905666958,1442.4645748670987,10790
2020-09-28,1498.9434814453125,1499.4432958772716,1454.4599970009535,1454.4599970009535,15341
2020-09-29,1521.9351806640625,1537.9292449600396,1491.4464955998562,1516.4372210623203,16949
2020-09-30,1506.440673828125,1549.424714289047,1500.4429007405545,1529.4321373304786,14979
2020-10-01,1536.4298095703125,1542.927398224969,1509.4398259278933,1539.4286966416923,11709
2020-10-02,1536.4298095703125,1549.4249868796255,1499.44353568996,1529.4324064037594,12554
2020-10-05,1591.4093017578125,1598.4067044665467,1540.4282248798927,1544.426740713455,11824
2020-10-06,1550.4244384765625,1615.4003175874436,1545.9261083842707,1586.9108936695957,20717
2020-10-07,1605.904052734375,1622.8977464141037,1571.4168508549253,1571.4168508549253,28812
2020-10-08,1637.892333984375,1650.3876981435478,1616.4003076305978,1650.3876981435478,27964
2020-10-09,1661.8831787109375,1666.8813236093163,1638.3918976885575,1643.3900425869363,40988
2020-10-13,1727.3590087890625,1734.3564121811478,1674.3786688204166,1699.3693952207213,24481
2020-10-14,1793.8345947265625,1798.332926114843,1714.3640735336053,1736.8557304750084,18479
2020-10-15,1848.3140869140625,1856.3111191992505,1741.353780099674,1764.3452479195892,23876
2020-10-16,1840.816650390625,1889.2986528581491,1822.8233298872142,1889.2986528581491,43757
2020-10-19,1808.82861328125,1857.8104325964096,1750.350318792743,1849.8134008714856,67015
2020-10-20,1837.818115234375,1879.3027232203563,1733.3568734383498,1798.3327654645857,24591
2020-10-21,1942.7789306640625,1969.2690987436085,1849.313620647551,1850.3132496316848,49168
2020-10-22,2020.25048828125,2048.2401041505595,1899.795177129399,1971.268660509958,31017
2020-10-23,1771.8424072265625,1819.3247848532264,1691.3722725119005,1799.3322047998943,138094
2020-10-26,1573.416015625,1709.3655570004764,1564.4193547986815,1706.3666700583703,60552
2020-10-27,1512.4385986328125,1565.9187473617321,1494.4452775651387,1559.4211591984056,40426
2020-10-28,1423.4720458984375,1499.4438685727923,1408.9774218355672,1499.4438685727923,40396
2020-10-29,1413.4754638671875,1429.4695285219789,1379.4880764757559,1424.4713833173564,21261
2020-10-30,1364.4937744140625,1427.47041015625,1357.9961850120908,1422.4722644624255,17731
2020-11-02,1371.9908447265625,1399.480643072632,1329.5066109190004,1374.4899173034778,12931
2020-11-03,1414.4749755859375,1417.973676938977,1349.4990933152055,1381.4872199715658,17690
2020-11-04,1390.983642578125,1427.470098168568,1386.4853124368374,1415.9743655852778,25855
2020-11-05,1394.048583984375,1424.538710776432,1369.556514921903,1424.538710776432,15434
2020-11-06,1360.5596923828125,1406.5448105676835,1354.5616334891336,1394.5486927803258,8537
2020-11-09,1389.05029296875,1409.5436582122616,1369.5566040785804,1369.5566040785804,12659
2020-11-10,1358.0606689453125,1393.5491884503244,1331.0694005893881,1393.5491884503244,14995
2020-11-11,1417.541259765625,1429.5373776197769,1347.563905616405,1354.561641031327,18135
2020-11-12,1347.5638427734375,1419.0407083211385,1332.5686961550389,1419.0407083211385,25302
2020-11-13,1352.0623779296875,1384.5518620573878,1344.564804669449,1384.5518620573878,11922
2020-11-16,1365.55810546875,1394.5487241060807,1359.060208187969,1389.550341582403,35337
2020-11-17,1382.552490234375,1384.5518430763625,1349.5631683415806,1369.5566967614561,21879
2020-11-18,1370.0565185546875,1391.549561348504,1353.5618578059443,1384.551826485401,10707
2020-11-19,1374.554931640625,1380.5529895241477,1349.5630237926136,1374.554931640625,14783
2020-11-20,1401.5465087890625,1409.5439211074024,1362.0592854672593,1384.5520076125902,7703
2020-11-24,1422.5396728515625,1427.538055398476,1375.055038655885,1401.5464661545261,22003
2020-11-25,1414.5421142578125,1446.5317592445615,1399.5469681702739,1424.5388783161716,11764
2020-11-26,1438.0345458984375,1441.0335751912394,1399.5470033074819,1419.5405319261602,2847
2020-11-27,1443.5328369140625,1461.5270135514954,1429.537366196059,1439.534130994633,14229
2020-11-30,1437.5347900390625,1443.5328489682936,1413.542554322138,1443.033010724191,8576
2020-12-01,1481.0206298828125,1500.5143202525153,1437.5347052119369,1437.5347052119369,13752
2020-12-02,1477.52197265625,1505.512916657857,1462.5268240839607,1479.521325799222,108453
2020-12-03,1477.0220947265625,1497.5154638919735,1467.5251675523477,1489.51805153474,14804
2020-12-04,1495.515625,1520.5075304979946,1484.0193484709223,1490.0174057904412,26257
2020-12-09,1418.0411376953125,1488.5183320608533,1414.542269889931,1479.5212434184436,14966
2020-12-10,1414.042236328125,1439.5339839607634,1407.5443398727466,1418.040941839127,8795
2020-12-11,1426.5384521484375,1450.5306896057343,1352.0625483747453,1414.0424951394286,9665
2020-12-14,1453.529541015625,1464.525981834863,1416.5415128054613,1429.5373065009242,7238
2020-12-15,1445.0323486328125,1465.0258781884377,1439.5341280050156,1451.5302457383907,5218
2020-12-16,1457.5284423828125,1470.5242378224398,1447.5316766600224,1449.5310298045804,8020
2020-12-17,1428.0377197265625,1482.5200828522873,1419.5404704317248,1459.5275259368439,3939
2020-12-18,1393.0489501953125,1454.029205639815,1383.5520251670705,1424.538754236326,37765
2020-12-21,1305.07763671875,1349.0634015717756,1279.5858866334738,1349.0634015717756,31469
2020-12-22,1291.0821533203125,1319.5729325457316,1287.0834474641133,1307.576814977134,12530
2020-12-23,1343.065185546875,1348.5634055100368,1287.5831477367883,1290.5821768076037,4309
2020-12-28,1337.5670166015625,1362.5589264782732,1314.0746213174543,1343.565074971973,32113
2020-12-29,1404.045654296875,1447.5315823580456,1298.579782792197,1334.5681370497175,13678
2020-12-30,1397.047607421875,1424.5387052423412,1379.5532724452146,1404.5451795547294,6205
2021-01-04,1452.5299072265625,1474.5227895107912,1399.5470544509205,1400.5467309183855,15554
2021-01-05,1499.0146484375,1506.5122208704984,1414.541999025717,1459.5274336237078,10328
2021-01-06,1517.5089111328125,1538.502117413306,1459.5276747390687,1493.5166753836772,14484
2021-01-07,1530.504638671875,1554.4968733734588,1454.529228783526,1517.5088448751837,9842
2021-01-08,1548.49853515625,1599.4820246933505,1532.5037149093164,1549.4982114216834,19864
2021-01-11,1554.996826171875,1564.4937531076723,1396.0482595622138,1548.4989287947506,16158
2021-01-12,1584.4871826171875,1627.4732702213132,1538.0022274173773,1559.4952712194402,20101
2021-01-13,1720.943115234375,1789.4209562994663,1584.487271360142,1588.4859774077386,112330
2021-01-14,1770.4271240234375,1803.4164493157996,1699.4500908186583,1699.4500908186583,35282
2021-01-15,1738.4375,1779.4242380678552,1714.4452630822311,1769.4274726854514,26792
2021-01-18,1688.4537353515625,1738.4375641067893,1532.5041896352548,1738.4375641067893,11982
2021-01-19,1737.9375,1748.9339408973253,1688.4535159620361,1689.4531924072476,22190
2021-01-20,1747.934326171875,1779.4241353079426,1702.9488845489213,1739.4370760875393,13628
2021-01-21,1838.4052734375,1849.4017160736132,1739.4372897124795,1744.9355110305362,48409
2021-01-22,1733.9388427734375,1798.4179752951363,1722.4425633315843,1788.9210487996925,28200
2021-01-25,1674.9578857421875,1729.4402520644492,1631.4719603290064,1729.4402520644492,24020
