Price,Close,High,Low,Open,Volume
Ticker,MELI.BA,MELI.BA,MELI.BA,MELI.BA,MELI.BA
Date,,,,,
2020-08-13,75199.5,75550.0,73001.0,73050.0,1172
2020-08-14,73491.0,75700.0,73250.0,75700.0,1295
2020-08-18,78191.0,78200.0,75500.0,75799.0,1296
2020-08-19,79931.0,80000.0,76767.0,78191.0,1267
2020-08-20,81814.5,82000.0,79931.0,80000.0,595
2020-08-21,81221.5,81999.0,80000.0,81800.0,1034
2020-08-24,80606.0,82750.0,76639.5,82010.0,742
2020-08-25,80016.5,81781.0,79565.5,80705.0,844
2020-08-26,78475.5,81700.0,78000.0,80695.0,968
2020-08-27,75653.0,78500.0,75251.0,78490.0,1359
2020-08-28,74970.5,77000.0,74100.0,75300.0,800
2020-08-31,75167.5,75455.0,70560.0,74884.0,1041
2020-09-01,76893.0,79335.5,75840.0,76800.0,6509
2020-09-02,75266.0,77923.5,74250.0,77500.0,7155
2020-09-03,67365.0,73788.0,65350.0,73788.0,9601
2020-09-04,68023.0,68500.0,60338.0,65980.0,9190
2020-09-07,68599.5,69850.0,68200.0,69850.0,291
2020-09-08,63098.0,66900.0,63000.0,66800.0,8905
2020-09-09,67103.5,67885.5,63500.0,63500.5,13223
2020-09-10,66997.5,70388.0,66850.0,68000.0,12513
2020-09-11,66867.0,68189.5,65757.0,66998.0,8432
2020-09-14,67880.5,69000.0,66759.0,68000.0,10020
2020-09-15,66933.5,67995.0,65600.0,67995.0,755
2020-09-16,66444.0,69200.0,66100.0,67900.0,822
2020-09-17,63695.0,65499.0,62700.5,65000.0,7558
2020-09-18,67866.5,68000.0,63703.0,63703.0,501
2020-09-21,70518.0,71100.0,66100.0,67500.0,812
2020-09-22,77142.0,78000.0,70393.0,70393.0,10012
2020-09-23,76649.0,78000.0,74500.0,77139.0,8849
2020-09-24,74457.0,76700.0,72500.0,75000.0,6210
2020-09-25,77132.5,77980.0,73500.0,73500.0,713
2020-09-28,79281.5,79400.0,77100.0,78600.0,1024
2020-09-29,79621.0,79800.0,78000.0,78799.0,6316
2020-09-30,79041.5,81499.5,78800.0,80000.0,788
2020-10-01,81875.5,81950.0,80000.0,80001.5,705
2020-10-02,81190.5,81500.0,79000.0,80990.0,1187
2020-10-05,82914.0,83000.0,81200.0,81200.0,1080
2020-10-06,82750.0,84799.0,82500.0,83900.0,1253
2020-10-07,86463.0,86700.0,83301.0,83301.0,956
2020-10-08,88398.0,89500.0,87175.0,87175.0,979
2020-10-09,92821.5,93800.0,89000.0,89000.0,7536
2020-10-13,100897.0,102000.0,94000.0,94000.0,3028
2020-10-14,102610.0,102640.0,98000.5,101008.5,1479
2020-10-15,106936.5,107114.5,100000.5,102000.0,6787
2020-10-16,107986.5,110348.5,106000.0,107000.0,1396
2020-10-19,106599.0,108986.0,104976.5,108000.5,886
2020-10-20,114807.5,116200.0,108000.5,108118.5,1427
2020-10-21,116437.0,121000.0,113863.5,115550.0,2095
2020-10-22,3977.5,4150.0,3830.0,4150.0,66393
2020-10-23,4021.5,4070.0,3801.5,4069.0,58212
2020-10-26,3562.5,4048.0,3520.0,4048.0,59887
2020-10-27,3537.0,3700.0,3489.0,3635.0,29456
2020-10-28,3370.0,3500.0,3290.0,3475.0,65696
2020-10-29,3484.0,3599.0,3301.0,3302.5,27095
2020-10-30,3115.5,3350.0,3100.0,3350.0,52118
2020-11-02,3040.0,3220.0,3006.0,3107.5,51462
2020-11-03,3197.0,3227.0,3051.5,3051.5,42607
2020-11-04,3330.5,3440.0,3255.0,3327.0,55627
2020-11-05,3685.5,3699.0,3453.0,3500.0,62433
2020-11-06,3704.0,3764.5,3480.0,3692.0,30643
2020-11-09,3398.5,3649.0,3302.5,3649.0,80559
2020-11-10,3122.0,3370.0,3050.0,3370.0,212053
2020-11-11,3268.5,3380.0,3150.0,3200.0,90075
2020-11-12,3237.5,3364.0,3230.0,3300.0,40120
2020-11-13,3202.5,3335.0,3200.0,3300.0,32242
2020-11-16,3166.5,3273.5,3150.0,3200.0,120104
2020-11-17,3262.0,3340.0,3170.0,3170.0,126248
2020-11-18,3312.5,3385.5,3230.0,3299.0,219990
2020-11-19,3492.5,3528.0,3321.0,3387.0,134259
2020-11-20,3634.0,3657.0,3480.0,3515.0,120462
2020-11-24,3606.0,3747.0,3505.5,3700.0,137393
2020-11-25,3702.5,3720.0,3606.0,3674.0,33190
2020-11-26,3697.5,3725.0,3651.5,3702.5,6924
2020-11-27,3796.0,3815.0,3698.0,3720.0,29651
2020-11-30,3858.0,3870.0,3660.0,3800.0,63057
2020-12-01,3810.5,3980.0,3770.0,3901.0,31987
2020-12-02,3725.5,3820.0,3700.0,3820.0,29285
2020-12-03,3777.0,3855.0,3750.0,3790.0,19434
2020-12-04,3752.5,3849.0,3725.0,3780.0,46734
2020-12-09,3626.0,3920.0,3620.0,3878.0,35162
2020-12-10,3724.5,3780.0,3586.5,3635.0,22690
2020-12-11,3804.0,3830.0,3690.0,3719.0,11530
2020-12-14,3847.0,3895.0,3755.0,3870.0,25899
2020-12-15,3966.5,4010.0,3869.0,3869.0,30108
2020-12-16,3927.5,4050.0,3900.0,3971.0,19846
2020-12-17,3997.0,4029.0,3933.0,3933.0,17757
2020-12-18,4072.0,4079.5,3994.0,4020.0,19751
2020-12-21,3990.5,4130.0,3890.0,4070.0,21657
2020-12-22,4044.5,4098.0,4001.0,4001.0,19308
2020-12-23,4018.0,4120.0,3980.0,4059.0,8300
2020-12-28,3989.5,4071.0,3866.0,4069.0,18732
2020-12-29,3962.0,4049.0,3900.0,4001.0,31489
2020-12-30,4088.0,4120.0,3975.0,4000.0,14109
2021-01-04,4054.5,4180.0,3878.0,4086.0,29982
2021-01-05,4094.5,4180.0,3950.5,4053.0,27954
2021-01-06,3946.5,4092.0,3910.0,4092.0,27465
2021-01-07,3994.0,4036.0,3921.0,3976.0,35976
2021-01-08,4265.0,4320.0,4000.0,4001.0,38326
2021-01-11,4462.5,4500.0,4110.0,4267.0,42590
2021-01-12,4604.0,4615.0,4463.0,4475.0,25857
2021-01-13,4549.5,4616.0,4380.0,4597.0,27378
2021-01-14,4668.0,4740.0,4565.0,4565.0,52263
2021-01-15,4655.5,4794.5,4530.5,4705.0,38289
2021-01-18,4759.0,4800.0,4640.0,4695.0,8140
2021-01-19,4817.0,4840.0,4701.0,4765.0,25142
2021-01-20,4949.0,4988.5,4800.0,4850.0,41537
2021-01-21,4908.5,5144.0,4788.0,5021.0,31749
2021-01-22,4996.0,5000.0,4805.0,4910.0,19588
2021-01-25,4793.5,5105.0,4710.0,5099.0,45286
2021-01-26,4600.0,4900.0,4585.0,4850.0,60274
2021-01-27,4510.5,4699.0,4390.0,4651.0,58719
2021-01-28,4714.0,4728.0,4420.0,4420.0,36183
2021-01-29,4550.0,4729.0,4486.0,4714.0,37567
2021-02-01,4869.5,4885.0,4550.0,4602.0,40580
2021-02-02,4911.0,4990.0,4774.0,4875.0,38127
2021-02-03,4869.0,4999.0,4850.0,4990.0,23011
2021-02-04,4924.5,4973.0,4794.5,4880.0,16708
2021-02-05,4969.0,5040.0,4910.0,4998.0,22052
2021-02-08,4922.5,5049.0,4820.0,4938.5,33275
2021-02-09,4835.0,4930.0,4830.0,4930.0,28756
2021-02-10,4977.5,4981.0,4830.0,4880.0,18719
2021-02-11,4935.0,5019.0,4860.0,4983.0,17550
2021-02-12,4891.5,4999.0,4778.5,4930.0,10798
2021-02-17,4689.0,4890.0,4570.0,4890.0,30116
2021-02-18,4581.5,4699.0,4420.0,4699.0,25767
2021-02-19,4570.5,4700.0,4550.0,4590.0,14051
2021-02-22,4328.0,4568.0,4215.0,4568.0,26173
2021-02-23,4151.0,4200.0,3910.0,4200.0,44499
2021-02-24,4198.5,4300.0,4072.5,4190.0,44893
2021-02-25,4041.0,4252.5,4009.0,4180.0,36163
2021-02-26,4091.5,4114.0,3925.5,4041.0,28074
2021-03-01,4303.0,4318.0,4154.5,4161.0,44963
2021-03-02,4130.0,4260.0,4051.0,4260.0,45756
2021-03-03,3881.0,4194.0,3841.0,4194.0,53689
2021-03-04,3695.5,3998.0,3600.0,3906.0,72702
2021-03-05,3716.0,3788.0,3432.5,3693.0,66702
2021-03-08,3503.5,3874.5,3480.0,3717.0,55020
2021-03-09,3711.5,3741.0,3550.0,3550.0,59795
2021-03-10,3638.5,3920.0,3584.0,3774.5,37938
2021-03-11,3966.0,3977.5,3724.0,3730.0,46316
2021-03-12,3887.5,3930.5,3791.0,3928.0,33195
2021-03-15,3969.0,3975.0,3840.0,3887.5,173500
2021-03-16,3899.5,4050.0,3838.0,3995.0,144548
2021-03-17,3885.5,3945.0,3786.0,3819.0,149344
2021-03-18,3645.5,3805.5,3627.0,3750.0,219153
2021-03-19,3634.5,3737.5,3570.0,3660.0,192144
2021-03-22,3692.0,3765.0,3652.0,3655.0,184141
2021-03-23,3622.0,3774.0,3610.0,3695.0,201616
2021-03-25,3475.5,3549.0,3350.0,3549.0,57274
2021-03-26,3456.5,3595.0,3373.0,3517.0,19924
2021-03-29,3413.0,3459.0,3215.0,3459.0,20859
2021-03-30,3506.0,3522.0,3370.0,3400.0,16167
2021-03-31,3676.0,3703.0,3573.0,3575.0,38036
2021-04-05,3725.5,3735.0,3605.0,3701.0,39809
2021-04-06,3906.5,3918.0,3762.0,3775.0,41491
2021-04-07,3899.5,3911.5,3841.5,3901.0,35955
2021-04-08,4020.5,4025.0,3933.0,3967.0,43052
2021-04-09,4006.0,4020.0,3900.0,3975.0,18187
2021-04-12,4001.5,4020.0,3943.5,4000.0,37713
2021-04-13,4032.5,4064.5,4003.0,4026.0,19217
2021-04-14,3896.0,4096.0,3870.5,4060.5,23026
2021-04-15,4048.0,4060.0,3998.0,4005.0,26031
2021-04-16,4014.5,4095.0,4000.0,4048.0,21938
2021-04-19,3969.5,4020.0,3860.0,4000.0,30329
2021-04-20,3915.5,3988.0,3814.5,3988.0,23691
2021-04-21,4029.5,4045.0,3901.5,3916.0,26604
2021-04-22,3979.0,4082.0,3950.5,4029.5,30266
2021-04-23,4090.0,4124.5,4000.0,4000.0,18821
2021-04-26,4182.5,4198.0,4010.0,4088.5,14461
2021-04-27,4191.0,4266.5,4162.0,4200.0,28348
2021-04-28,4245.0,4270.0,4177.0,4200.0,19355
2021-04-29,4168.5,4240.0,4143.0,4236.5,20083
2021-04-30,4112.0,4216.0,4100.0,4178.5,13302
2021-05-03,4167.0,4249.5,4120.0,4120.0,18308
2021-05-04,4035.0,4060.0,3940.5,4029.5,45266
2021-05-05,4047.5,4150.5,4040.0,4091.0,28927
2021-05-06,3826.0,3953.0,3773.5,3939.0,62736
2021-05-07,3916.0,3990.0,3886.0,3928.0,21577
2021-05-10,3666.5,3837.0,3656.5,3837.0,61360
2021-05-11,3638.5,3705.0,3601.5,3677.0,49776
2021-05-12,3442.5,3555.0,3420.0,3555.0,60417
2021-05-13,3461.5,3488.0,3350.0,3445.0,49134
2021-05-14,3517.0,3535.0,3451.0,3481.0,36683
2021-05-17,3586.0,3615.0,3500.0,3534.0,121475
2021-05-18,3646.5,3725.5,3600.5,3647.5,123746
2021-05-19,3608.0,3633.0,3502.5,3572.0,105549
2021-05-20,3767.0,3770.0,3678.0,3678.5,122467
2021-05-21,3790.5,3820.0,3725.0,3820.0,146749
2021-05-26,3802.0,3879.5,3759.5,3815.0,105896
2021-05-27,3753.5,3800.0,3715.0,3796.5,26649
2021-05-28,3747.5,3799.0,3740.0,3783.5,23465
2021-05-31,3780.0,3790.0,3550.0,3746.0,6516
2021-06-01,3806.0,3822.0,3712.0,3801.0,32067
2021-06-02,3813.5,3820.0,3740.0,3810.0,24808
2021-06-03,3684.0,3771.0,3669.0,3752.5,25252
2021-06-04,3676.0,3740.0,3663.0,3693.5,27420
2021-06-07,3684.5,3700.0,3600.0,3605.0,35031
2021-06-08,3645.0,3700.0,3606.0,3690.0,35740
2021-06-09,3642.0,3719.0,3636.0,3650.0,24208
2021-06-10,3796.0,3803.5,3704.5,3731.0,62565
2021-06-11,3837.0,3888.5,3811.0,3825.0,47377
2021-06-14,3927.5,3934.5,3838.0,3845.0,37300
2021-06-15,3861.5,3975.0,3858.0,3942.5,25609
2021-06-16,3949.0,3960.0,3861.0,3883.0,24581
2021-06-17,4088.5,4099.0,3940.0,3948.0,47413
2021-06-18,4077.5,4125.0,4054.5,4090.0,23773
2021-06-22,4215.5,4245.0,4100.0,4135.0,45409
2021-06-23,4299.5,4307.0,4205.0,4244.5,30155
2021-06-24,4313.5,4385.0,4304.0,4330.0,45617
2021-06-25,4370.5,4459.5,4320.0,4345.0,40840
2021-06-28,4448.5,4480.0,4401.5,4409.5,33016
2021-06-29,4481.0,4487.0,4371.0,4460.0,56973
2021-06-30,4446.0,4475.0,4419.0,4460.0,23124
2021-07-01,4404.0,4443.5,4326.5,4442.5,33781
2021-07-02,4461.5,4474.0,4413.0,4414.0,18275
2021-07-05,4461.5,4487.0,4438.0,4475.0,4620
2021-07-06,4501.0,4549.0,4436.5,4479.0,14882
2021-07-07,4459.0,4527.5,4436.0,4501.0,14454
2021-07-08,4413.5,4442.0,4325.5,4400.0,25824
2021-07-12,4355.5,4490.0,4325.0,4415.0,22910
2021-07-13,4446.0,4509.5,4355.0,4357.0,8086
2021-07-14,4342.5,4497.0,4329.0,4450.0,12845
2021-07-15,4369.5,4400.0,4301.0,4335.0,31586
2021-07-16,4418.0,4461.0,4366.0,4371.0,19811
2021-07-19,4435.0,4470.0,4251.0,4379.5,20407
2021-07-20,4616.0,4620.0,4368.0,4430.0,22078
2021-07-21,4625.5,4640.0,4516.0,4621.5,19514
2021-07-22,4772.0,4798.0,4650.5,4650.5,21907
2021-07-23,4843.5,4863.0,4770.0,4771.0,17036
2021-07-26,4755.0,4867.0,4750.0,4850.0,17192
2021-07-27,4739.0,4770.5,4604.0,4770.5,14120
2021-07-28,4922.5,4928.0,4790.0,4790.0,29958
2021-07-29,4934.0,4962.0,4805.5,4932.0,11625
2021-07-30,4730.0,4850.0,4720.0,4850.0,17946
2021-08-02,4704.5,4848.0,4670.0,4796.0,27419
2021-08-03,4734.5,4756.0,4630.0,4750.0,18220
