Price,Close,High,Low,Open,Volume
Ticker,MMM.BA,MMM.BA,MMM.BA,MMM.BA,MMM.BA
Date,,,,,
2020-08-13,4297.8740234375,4397.8245821220935,4278.883417287428,4347.849302779797,430
2020-08-14,4211.9169921875,4347.849766496352,4165.4399774421945,4347.849766496352,770
2020-08-18,4232.90478515625,4247.897364088326,4162.93941680656,4247.897364088326,343
2020-08-19,4312.86572265625,4322.8607764746885,4153.444614252155,4211.915679090021,426
2020-08-20,4337.853515625,4352.846096900202,4247.898027973791,4247.898027973791,466
2020-08-21,4303.16357421875,4348.144378130444,4186.213484048345,4218.199833496661,120
2020-08-24,4353.14208984375,4488.084496761983,4300.164700461036,4478.088762916188,596
2020-08-25,4298.16552734375,4438.105800327035,4239.19069801508,4438.105800327035,206
2020-08-26,4198.20849609375,4372.134276646205,4188.712548304967,4372.134276646205,228
2020-08-27,4108.74609375,4277.1741966077725,4090.2539875015204,4193.210038506569,172
2020-08-28,4198.20849609375,4198.20849609375,4048.272478376116,4048.272478376116,69
2020-08-31,4148.22900390625,4148.22900390625,4023.2823471620854,4098.250341208584,616
2020-09-01,4148.22900390625,4193.209800334149,4117.242233033697,4178.21620152485,416
2020-09-02,4248.18603515625,4283.171096622243,4215.200120059743,4248.18603515625,1122
2020-09-03,4132.736328125,4258.182793037247,4062.766188333308,4258.182793037247,534
2020-09-04,4108.24658203125,4108.24658203125,4023.28284493328,4037.7766589088164,158
2020-09-07,4252.18505859375,4298.165432993213,4168.220896646906,4168.220896646906,49
2020-09-08,4078.258544921875,4130.236349906173,3927.8227824192422,4006.7890630684647,12579
2020-09-09,4241.689453125,4250.185826484624,4078.2592126193003,4078.2592126193003,14456
2020-09-10,4178.21728515625,4261.181886751458,4146.730719490599,4218.200225684061,444
2020-09-11,4288.169921875,4298.1656559586245,4185.213860813666,4185.213860813666,64
2020-09-14,4404.12060546875,4407.619112531651,4298.165820135185,4313.159421833331,262
2020-09-15,4298.16552734375,4435.606866880905,4264.180032476381,4405.119878838118,45
2020-09-16,4558.05419921875,4607.533077039217,4498.079801860608,4498.079801860608,522
2020-09-17,4518.07080078125,4600.035802034361,4506.575709142094,4558.053728221792,379
2020-09-18,4596.03759765625,4617.528421568736,4498.079423543524,4596.03759765625,257
2020-09-21,4583.04296875,4598.036566248637,4348.143274604689,4598.036566248637,293
2020-09-22,4686.49951171875,4747.973270910539,4468.092741256865,4593.039406280826,157
2020-09-23,4817.94384765625,4919.900335718686,4613.531084825191,4633.022766366539,1634
2020-09-24,4598.03759765625,4819.9428904127035,4463.594976594344,4819.9428904127035,183
2020-09-25,4638.01953125,4648.015262998383,4538.562000353583,4648.015262998383,155
2020-09-28,4714.9873046875,4719.4853845838525,4658.011626000371,4716.986451308101,248
2020-09-29,4703.99169921875,4737.977189608346,4648.015597400592,4714.987004933031,99
2020-09-30,4687.9990234375,4826.439932765025,4687.9990234375,4747.973424590219,206
2020-10-01,4636.5205078125,4857.925982099548,4609.032243510496,4704.991275255673,127
2020-10-02,4842.93212890625,4842.93212890625,4697.994015657249,4707.989747605457,232
2020-10-05,4947.88720703125,4982.872268091067,4842.932023851799,4857.925621448864,926
2020-10-06,4932.89453125,5065.837788120568,4932.89453125,4997.8667996453905,306
2020-10-07,5048.34423828125,5077.831646464459,4897.908477888946,4997.865793764231,88
2020-10-08,5179.28857421875,5197.78067855592,5048.344484047438,5162.795616296409,233
2020-10-09,5291.7412109375,5297.738650919673,5126.811611427736,5197.781317883453,607
2020-10-13,5321.72802734375,5494.654201034672,5291.7408295938785,5349.716078576963,420
2020-10-14,5547.6328125,5734.053266469595,5165.795743243243,5437.67972972973,340
2020-10-15,5747.5458984375,5767.5373624320655,5547.631258491848,5547.631258491848,1963
2020-10-16,5787.52978515625,6047.41886013736,5717.559649584413,5917.4743226468045,399
2020-10-19,5680.57470703125,5847.5034376443455,5597.6101283433045,5847.5034376443455,2954
2020-10-20,5882.48828125,5899.481025647833,5234.764847732583,5497.6525992990655,138
2020-10-21,6004.93798828125,6205.352481273408,5791.529039384363,5791.529039384363,1564
2020-10-22,6297.3115234375,6297.3115234375,5958.456189081101,6002.437412419395,1058
2020-10-23,6290.314453125,6386.273484985798,6095.397669657755,6297.31146586485,604
2020-10-26,5458.169921875,6227.341564560251,5423.18485690556,6227.341564560251,1064
2020-10-27,5351.2158203125,5787.029792042444,5210.2759808310275,5457.670379920846,670
2020-10-28,5056.34130859375,5342.219259420638,5017.85773829013,5197.780924125234,468
2020-10-29,4985.37109375,5146.302371162281,4849.429145128446,5146.302371162281,343
2020-10-30,4945.388671875,4997.8662676857,4822.4411616899315,4997.8662676857,1202
2020-11-02,4942.39013671875,4997.866454362171,4797.951796187684,4947.887789818548,3657
2020-11-03,5091.82666015625,5159.797648159906,5048.845005977467,5097.82410027422,74
2020-11-04,4914.40234375,5091.826612236856,4897.9093835808,5091.826612236856,78
2020-11-05,5045.8466796875,5045.8466796875,4897.909811899514,5012.8607564645035,139
2020-11-06,5031.85205078125,5097.8238893493,4853.928001309843,5097.8238893493,96
2020-11-09,5017.359375,5197.782398645283,4927.897543331009,5037.850632533121,1521
2020-11-10,5130.310546875,5134.308840530626,4947.888398837068,5025.855125121773,511
2020-11-11,5136.806640625,5197.7806054193425,5044.845906836811,5097.823286084355,366
2020-11-12,5058.84033203125,5112.8172887452765,4947.887698785751,5112.8172887452765,186
2020-11-13,5088.828125,5139.306581160381,4987.871212679238,5097.82428550383,228
2020-11-16,5208.77587890625,5217.772037591753,5090.826242807432,5090.826242807432,477
2020-11-17,5253.7568359375,5297.738057547327,5142.804208694528,5247.759396627069,73
2020-11-18,5217.77197265625,5353.713924434267,5182.786911536908,5282.744229020744,3197
2020-11-19,5244.76171875,5245.761292166952,5161.297338434462,5217.773236492281,160
2020-11-20,5321.72802734375,5387.699862393466,5196.781370052621,5245.760459710744,139
2020-11-24,5331.7236328125,5372.706135426919,5160.296823096088,5347.7168045644685,508
2020-11-25,5354.71484375,5397.696501073362,5309.234252861326,5347.717829767127,335
2020-11-26,5344.71875,5354.7144835889285,5344.71875,5354.7144835889285,56
2020-11-27,5332.72314453125,5422.684734598319,5307.733813957064,5307.733813957064,344
2020-11-30,5184.78662109375,5332.723467039745,5180.788327960075,5332.723467039745,424
2020-12-01,5097.8232421875,5297.73787913603,5002.863789636949,5047.844582950368,187
2020-12-02,5094.326171875,5296.739798835598,5008.3628537584,5147.803352331257,4111
2020-12-03,5060.33984375,5143.304427854938,5032.851577932099,5097.823842592593,188
2020-12-04,5007.86181640625,5147.302280156484,4998.365870846198,5060.83919689917,875
2020-12-09,4979.8740234375,5104.820681994242,4887.913282739738,4997.866342269671,370
2020-12-10,4899.40869140625,4977.875198042054,4898.90890473978,4937.892264724446,262
2020-12-11,4996.8662109375,5005.86236934887,4561.552101142885,4927.895663116999,108
2020-12-14,4982.873046875,5114.816726350928,4906.905473843405,5007.862380109077,226
2020-12-15,5028.35400390625,5028.35400390625,4977.875547053598,4982.873414068712,144
2020-12-16,4947.88720703125,5047.844524345012,4887.912816642993,4887.912816642993,372
2020-12-17,5067.3369140625,5192.783364938296,4917.900703656673,5192.783364938296,69
2020-12-18,5077.83251953125,5192.283665886826,4977.875186469611,5067.336999559778,107
2020-12-21,4946.8876953125,5097.82324633133,4905.40540811196,5097.82324633133,171
2020-12-22,4916.9013671875,4982.873209072918,4699.993947655138,4699.993947655138,112
