Price,Close,High,Low,Open,Volume
Ticker,MSFT.BA,MSFT.BA,MSFT.BA,MSFT.BA,MSFT.BA
Date,,,,,
2020-08-13,5476.68896484375,5549.178230010554,5399.200440010269,5549.178230010554,4275
2020-08-14,5334.70947265625,5557.676432154393,5292.215769612882,5555.676728481764,10861
2020-08-18,5460.18994140625,5568.173921203334,5359.204923262681,5568.173921203334,3911
2020-08-19,5548.7822265625,5554.281515191402,5394.302209623333,5499.288628902378,4374
2020-08-20,5746.755859375,5756.7545646544695,5549.2814301054805,5554.280782745215,5508
2020-08-21,5773.75146484375,5899.235196567343,5679.2637146614425,5759.253344445407,8774
2020-08-24,5717.7587890625,5929.231375210392,5679.763714482737,5799.248225332255,8472
2020-08-25,5703.7607421875,5799.24836614734,5659.2665090334385,5799.24836614734,3743
2020-08-26,5698.26171875,5799.248634628882,5621.27169377303,5799.248634628882,7108
2020-08-27,5755.7548828125,5911.234755005212,5629.771192161171,5739.25701856054,10756
2020-08-28,5798.74853515625,5817.246138035876,5480.7897397118695,5817.246138035876,6752
2020-08-31,5797.7490234375,5819.246238924938,5629.270846245257,5797.249088193606,4986
2020-09-01,5771.25146484375,5856.240441716882,5652.766832379442,5799.247833696076,4115
2020-09-02,5827.74560546875,5909.235056759083,5748.255895314377,5774.252530081845,5304
2020-09-03,5363.3046875,5819.245578159955,5339.307798517897,5819.245578159955,9112
2020-09-04,5342.8076171875,5449.2938174739165,4813.376227031089,5294.313901564108,17754
2020-09-07,5389.80224609375,5473.791373015534,5342.308394560599,5342.808329839895,1847
2020-09-08,5048.345703125,5289.314472079867,4979.854579998824,5289.314472079867,8170
2020-09-09,5374.30322265625,5443.794213163154,5129.834917923329,5149.332390079942,5094
2020-09-10,5295.314453125,5449.294518416022,5224.323643802516,5399.300990724131,8385
2020-09-11,5300.31396484375,5385.802899760585,5190.328200623261,5295.314611924637,6517
2020-09-14,5389.30224609375,5504.287358951038,5292.314803074994,5302.813443814138,2332
2020-09-15,5357.3046875,5499.2862600317285,5299.312214212393,5399.299237122061,4438
2020-09-16,5420.29736328125,5699.26120101515,5404.299437102962,5449.293604479398,5533
2020-09-17,5360.8046875,5453.2926915275575,5259.317850648139,5420.29697117178,5799
2020-09-18,5445.7939453125,5479.289602554392,5199.325900234096,5430.295954648341,3528
2020-09-21,5650.2685546875,5667.26635426805,5299.313986877322,5445.295089157339,2890
