Price,Close,High,Low,Open,Volume
Ticker,PYPL.BA,PYPL.BA,PYPL.BA,PYPL.BA,PYPL.BA
Date,,,,,
2020-08-13,6316.5,6455.0,6290.0,6455.0,336
2020-08-14,6169.5,6365.0,6119.0,6365.0,335
2020-08-18,6350.0,6430.0,6169.5,6181.0,222
2020-08-19,6350.0,6381.0,6217.0,6381.0,364
2020-08-20,6760.0,6786.0,6300.0,6300.0,328
2020-08-21,6711.5,6765.0,6272.0,6755.0,562
2020-08-24,6666.5,6798.0,6242.5,6500.0,509
2020-08-25,6740.0,6785.0,6505.0,6680.0,397
2020-08-26,6799.0,6799.0,6445.0,6721.0,289
2020-08-27,6461.0,7001.0,6421.0,7001.0,373
2020-08-28,6450.0,6484.0,6210.0,6461.0,126
2020-08-31,6499.5,6500.0,6330.0,6460.0,160
2020-09-01,6658.5,6741.0,6500.0,6500.0,182
2020-09-02,6600.0,6733.0,6500.0,6730.0,140
2020-09-03,6248.0,6700.0,6000.0,6700.0,560
2020-09-04,6237.5,6700.0,5451.0,5800.0,611
2020-09-07,6480.0,6485.0,6110.0,6237.0,70
2020-09-08,5803.5,6400.0,5800.0,6400.0,347
2020-09-09,6140.5,6154.5,5730.0,5730.0,200
2020-09-10,6063.0,6317.5,6060.0,6142.0,338
2020-09-11,6011.0,6069.5,5790.0,6030.0,238
2020-09-14,6200.0,6200.0,5900.0,5900.0,125
2020-09-15,6010.0,6350.0,5900.0,5901.0,578
2020-09-16,6175.0,6300.0,5897.5,6150.0,332
2020-09-17,5668.5,6200.0,5614.0,6200.0,1022
2020-09-18,5875.0,5900.0,5571.0,5680.0,210
2020-09-21,6388.0,6500.0,5901.0,5907.0,439
2020-09-22,6890.5,6930.0,6415.0,6670.0,920
2020-09-23,6876.5,7298.0,6840.0,6891.0,565
2020-09-24,6500.0,6995.0,6416.0,6881.0,315
2020-09-25,6871.5,6891.0,6550.0,6550.0,826
2020-09-28,7032.5,7175.0,6664.5,6949.0,919
2020-09-29,7199.5,7200.0,7032.5,7032.5,1186
2020-09-30,7237.5,7352.0,7199.0,7220.0,1771
2020-10-01,7309.0,7500.0,7200.0,7300.0,446
2020-10-02,7290.5,7354.5,7010.0,7300.0,664
2020-10-05,7501.5,7537.0,6984.0,7291.0,486
2020-10-06,7253.5,7596.0,6774.0,7540.0,518
2020-10-07,7460.0,7530.0,7256.0,7530.0,413
2020-10-08,7385.5,7570.0,7300.0,7570.0,235
2020-10-09,7742.5,7754.0,7390.0,7390.0,484
2020-10-13,8305.5,8348.0,7743.0,7800.0,429
2020-10-14,8427.0,8700.0,8100.0,8400.0,1527
2020-10-15,8507.5,8998.0,7900.0,8200.0,385
2020-10-16,8546.5,9100.0,8530.0,8650.0,661
2020-10-19,8358.0,8975.0,8212.0,8600.0,416
2020-10-20,8781.0,8795.0,7750.0,8365.0,1619
2020-10-21,9651.0,9764.5,9030.5,9175.0,1703
2020-10-22,4775.5,4850.0,4529.5,4650.0,4440
