Price,Close,High,Low,Open,Volume
Ticker,QCOM.BA,QCOM.BA,QCOM.BA,QCOM.BA,QCOM.BA
Date,,,,,
2020-08-13,1353.6314697265625,1383.6233043586133,1341.634735873742,1379.6243930743399,6259
2020-08-14,1359.1298828125,1380.124165665801,1299.6460813948142,1371.6264797489887,20127
2020-08-18,1352.1314697265625,1369.6267013126733,1299.6457749682302,1364.6280637166417,5263
2020-08-19,1335.1361083984375,1369.6267079789288,1309.643056534596,1369.6267079789288,9925
2020-08-20,1360.1295166015625,1399.618760192714,1311.6427238377435,1398.6190325068621,6782
2020-08-21,1399.6187744140625,1408.116459830148,1352.6315727015904,1399.6187744140625,3915
2020-08-24,1411.615478515625,1469.599683723774,1380.6239205595455,1469.599683723774,12072
2020-08-25,1405.1173095703125,1439.6079158884738,1364.6283369359492,1439.6079158884738,4803
2020-08-26,1382.6234130859375,1399.6187840349332,1314.641929289955,1389.621507006112,4884
2020-08-27,1366.1278076171875,1384.6227687887338,1314.6418346261264,1384.6227687887338,4535
2020-08-28,1369.626953125,1389.6215071852191,1269.1543189723998,1339.6351220346717,5082
2020-08-31,1413.1151123046875,1449.605173570426,1349.632402979362,1399.6187882748939,3965
2020-09-01,1424.61181640625,1469.5995579769735,1389.6213507401314,1469.5995579769735,6024
2020-09-02,1414.67333984375,1489.6560257011927,1395.177841520815,1489.6560257011927,3207
2020-09-03,1316.1961669921875,1413.673665117321,1309.6976671171785,1413.673665117321,3798
2020-09-04,1300.1995849609375,1309.6973904643046,1109.7435903934183,1299.6997004607601,9330
2020-09-07,1310.197265625,1349.6881408574973,1254.7100865008586,1254.7100865008586,1050
2020-09-08,1219.2186279296875,1299.7000543735905,1199.7231271140836,1269.7069761957384,5333
2020-09-09,1325.694091796875,1349.6885549968185,1250.7113942970518,1251.7111635970493,5350
2020-09-10,1305.1982421875,1349.6879563026619,1299.6995134766373,1326.6932726026905,6199
2020-09-11,1320.1951904296875,1369.6837643988429,1279.7045390003786,1369.6837643988429,5231
2020-09-14,1343.6895751953125,1409.6743311200823,1320.1950030099777,1350.6879583994546,2460
2020-09-15,1370.1837158203125,1399.6769078062296,1343.6898314939804,1344.6896007138419,7023
2020-09-16,1420.6717529296875,1453.664130020947,1390.6786828467243,1409.6742938992677,3985
2020-09-17,1380.68115234375,1404.6756111824538,1342.1900412899959,1399.6767655910571,3314
