Price,Close,High,Low,Open,Volume
Ticker,T.BA,T.BA,T.BA,T.BA,T.BA
Date,,,,,
2020-08-10,1298.5994873046875,1305.0949830087895,1234.1441837793682,1279.1130001923816,7620
2020-08-11,1309.0921630859375,1319.0852330331584,1294.1025581651063,1319.0852330331584,2214
2020-08-12,1327.0799560546875,1342.5692175899642,1302.0972761590797,1309.0924265298497,6297
2020-08-13,1289.6055908203125,1329.0782144835457,1280.112175002573,1329.0782144835457,3444
2020-08-14,1274.1163330078125,1300.0983131318933,1251.1322736672794,1289.1059369255515,3949
2020-08-18,1278.613525390625,1299.0993223976652,1263.1242642389604,1299.0993223976652,1113
2020-08-19,1299.0992431640625,1314.5885033710185,1274.1165654109075,1289.1061720628004,2221
2020-08-20,1324.5814208984375,1330.0776093668958,1299.0990925446765,1299.0990925446765,2725
2020-08-21,1338.072021484375,1349.0643980611699,1299.0990499848301,1349.0643980611699,2306
2020-08-24,1339.0714111328125,1351.5627489232304,1279.112989738806,1349.0644813651468,3437
2020-08-25,1309.0921630859375,1344.0679079012107,1304.0956281123272,1344.0679079012107,3328
2020-08-26,1274.6160888671875,1309.0921806476015,1261.1254442574602,1309.0921806476015,2860
2020-08-27,1249.133544921875,1279.11275,1229.147408203125,1269.119681640625,3462
2020-08-28,1257.1282958984375,1294.1026575425092,1226.6494302188648,1289.1061221852021,2103
2020-08-31,1269.1199951171875,1282.1109871931903,1240.1400897168737,1257.1283101239544,2454
2020-09-01,1243.6376953125,1280.6120582908547,1216.1567498556149,1250.1331915114001,5902
2020-09-02,1238.6409912109375,1279.1129235578862,1236.1427237821135,1243.1378725828206,7260
2020-09-03,1209.1614990234375,1264.1233853426847,1207.162884975465,1237.1420956950542,17602
2020-09-04,1289.6055908203125,1298.0996997098691,1191.1738583942756,1254.130194869812,3293
2020-09-07,1258.6273193359375,1339.071542604332,1249.1339016831455,1297.6002970684517,1462
2020-09-08,1235.6431884765625,1339.071469922033,1197.1698663929817,1240.1400702785395,3844
2020-09-09,1239.640380859375,1252.6313723556843,1204.1649810040683,1229.1476569585095,811
2020-09-10,1247.13525390625,1255.1297106620593,1216.156733977489,1239.6404506976787,2003
2020-09-11,1239.140625,1259.1267641129032,1220.153792842742,1247.1350806451612,1043
2020-09-14,1258.6273193359375,1279.113115323541,1229.1477592562153,1260.1262800179572,2725
2020-09-15,1260.1260986328125,1279.1129312053927,1244.6368404814973,1279.1129312053927,1450
2020-09-16,1314.58837890625,1329.0783306311764,1288.6063965029339,1289.1060500106898,17826
2020-09-17,1279.113037109375,1319.085319519043,1269.119966506958,1319.085319519043,1068
2020-09-18,1307.0933837890625,1341.0698173126314,1299.0989288423405,1341.0698173126314,2717
2020-09-21,1338.5718994140625,1346.0667028822263,1282.1110466205616,1329.0784816877217,2223
2020-09-22,1372.548095703125,1388.0373534267496,1312.0900252334932,1349.0643823802102,3116
2020-09-23,1390.0361328125,1417.0174236722683,1330.077708679682,1330.077708679682,1825
2020-09-24,1351.06298828125,1397.0311077050203,1298.0997202495146,1389.0366521530602,4056
2020-09-25,1349.064453125,1360.056830150463,1340.0706901041667,1349.064453125,2539
2020-09-28,1388.537109375,1419.0159735966174,1356.5592846178931,1383.0409207448722,2887
2020-09-29,1399.0294189453125,1409.0224862234934,1367.051603655134,1392.034271850586,13116
2020-09-30,1395.032470703125,1422.0137577439448,1394.0331637756872,1411.0213815421293,16627
2020-10-01,1421.0145263671875,1428.009675231161,1379.0436331833466,1428.009675231161,11859
2020-10-02,1458.4884033203125,1462.985284317189,1405.0254848018906,1434.0053845595398,5983
2020-10-05,1467.482177734375,1483.9707415291432,1433.0060897998596,1457.988762216175,16041
2020-10-06,1479.4739990234375,1518.9466251372003,1476.975731547883,1477.9750385381049,34363
2020-10-07,1468.9815673828125,1498.9607830436862,1458.9884954958545,1498.9607830436862,6971
2020-10-08,1449.166015625,1469.1545123922415,1439.1717672413793,1469.1545123922415,7557
2020-10-09,1488.6434326171875,1494.1402697299063,1429.177649306867,1449.1661478985714,13020
2020-10-13,1478.1490478515625,1533.1174032483414,1443.1691853263396,1494.1398421488072,5130
2020-10-14,1504.634033203125,1519.1256927723348,1469.154452878508,1479.1487008572733,3736
2020-10-15,1529.1199951171875,1579.0912367876838,1497.13840044807,1499.1372501148896,10264
2020-10-16,1551.60693359375,1599.079609500805,1529.1198765851448,1599.079609500805,10162
2020-10-19,1477.6495361328125,1549.1084078497527,1439.6713945210122,1549.1084078497527,36563
2020-10-20,1531.118896484375,1538.6145829880518,1449.1660573775089,1479.148803392216,15925
2020-10-21,1598.5799560546875,1629.0624122345362,1532.6179197310805,1536.1159065058173,5270
2020-10-22,1765.484130859375,1787.9711916826616,1679.0338748054062,1700.0217982404738,12923
2020-10-23,1711.015380859375,1795.9664949791454,1649.0510387955424,1795.9664949791454,10076
2020-10-26,1532.1182861328125,1678.0343133835565,1514.1286389375155,1678.0343133835565,5038
2020-10-27,1495.1395263671875,1569.0969628318746,1476.1504548424707,1532.1182445995312,3270
2020-10-28,1398.1953125,1479.148722301644,1371.2108425661186,1479.148722301644,8275
2020-10-29,1429.6771240234375,1449.1659069094615,1399.1946687401696,1400.1940935035555,2174
2020-10-30,1389.7003173828125,1460.1597725251988,1387.201755143721,1419.1833518040949,29164
2020-11-02,1427.1787109375,1438.172384481136,1349.2235712644433,1387.2017162333684,38186
2020-11-03,1427.1787109375,1439.1718093487395,1394.1976903065913,1419.1833119966736,27391
2020-11-04,1392.1988525390625,1414.1861998153433,1369.2120803865869,1414.1861998153433,3153
2020-11-05,1429.177490234375,1429.6772026435478,1359.2177529501748,1429.177490234375,7664
2020-11-06,1384.7030029296875,1438.6719398897765,1382.7041534126472,1429.1774046838348,17419
2020-11-09,1438.6722412109375,1449.166203373296,1359.217956267367,1385.203005431302,9421
2020-11-10,1441.1707763671875,1459.160425448054,1410.6883154246084,1439.1719264693136,2728
2020-11-11,1450.665283203125,1480.1483185834159,1407.190298828798,1480.1483185834159,1839
2020-11-12,1427.678466796875,1474.151724554001,1409.1891061838248,1451.1649518999386,2765
2020-11-13,1451.1651611328125,1459.1605614696325,1413.187009532918,1459.1605614696325,8894
2020-11-16,1454.1634521484375,1497.6384419549372,1431.176675928909,1461.1594275195985,10236
2020-11-17,1465.1568603515625,1474.1516841872815,1359.2178240642052,1451.1649121626663,6753
2020-11-18,1460.1597900390625,1499.137361436409,1429.17761790271,1489.1431123601662,5636
2020-11-19,1435.1739501953125,1459.1601443489947,1422.1814283620681,1459.1601443489947,2137
2020-11-20,1448.6661376953125,1475.150892886017,1424.1802319529634,1427.178506125496,3883
2020-11-24,1481.147705078125,1484.145979784761,1439.6715716363287,1476.1505805670652,2311
2020-11-25,1470.6536865234375,1489.143046496719,1439.1718033256882,1489.143046496719,4732
2020-11-26,1498.1380615234375,1499.1374865144471,1399.1949874134841,1469.1547367841583,896
2020-11-27,1499.1376953125,1513.1296471354167,1449.1664388020833,1494.1405696614584,13231
2020-11-30,1446.6671142578125,1494.1397829467562,1441.1702789359347,1494.1397829467562,8951
2020-12-01,1440.671142578125,1454.1633801256828,1424.1806300199987,1449.1662551080688,13818
2020-12-02,1427.678466796875,1452.6640892469427,1420.682492510856,1444.1689776139197,12947
2020-12-03,1429.177490234375,1448.6662741921166,1407.1901442307694,1429.177490234375,13369
2020-12-04,1419.1834716796875,1454.1633459816514,1417.6843342096033,1429.1777214802487,7978
2020-12-09,1477.14990234375,1538.114817122484,1464.1573795220527,1464.1573795220527,8340
2020-12-10,1453.16357421875,1499.1371123302097,1432.175654646127,1499.1371123302097,2196
2020-12-11,1485.6451416015625,1499.137378003595,1419.1833845100698,1455.162681582156,15756
2020-12-14,1464.157470703125,1514.628427884359,1461.1591960190913,1504.134466490241,18137
2020-12-15,1469.6541748046875,1479.1487104460641,1449.1659663154007,1464.1573383807324,2074
