Price,Close,High,Low,Open,Volume
Ticker,TSLA.BA,TSLA.BA,TSLA.BA,TSLA.BA,TSLA.BA
Date,,,,,
2020-08-10,808.0999755859375,825.9666748046875,790.0,825.9666748046875,23415
2020-08-11,789.7333374023438,811.933349609375,789.0,811.933349609375,28335
2020-08-12,901.1333618164062,927.6666870117188,821.3333129882812,821.3333129882812,138390
2020-08-13,946.2000122070312,963.6333618164062,918.6666870117188,926.6666870117188,63960
2020-08-14,933.7333374023438,973.3333129882812,926.6666870117188,973.3333129882812,52710
2020-08-18,1092.066650390625,1100.0,1031.5999755859375,1053.3333740234375,50355
2020-08-19,1103.199951171875,1112.1666259765625,1026.6666259765625,1053.3333740234375,53085
2020-08-20,1199.0,1203.3333740234375,1113.3333740234375,1113.3333740234375,57555
2020-08-21,1227.199951171875,1265.2332763671875,1213.3333740234375,1260.0,86115
2020-08-24,1193.63330078125,1229.933349609375,1146.6666259765625,1216.6666259765625,71250
2020-08-25,1181.199951171875,1193.0,1152.933349609375,1193.0,68040
2020-08-26,1236.0333251953125,1256.5999755859375,1190.0,1190.0,32445
2020-08-27,1241.066650390625,1277.0,1200.0,1242.0,41025
2020-08-28,1228.300048828125,1283.3333740234375,1225.800048828125,1266.6666259765625,31995
2020-08-31,1456.5,1500.0,1300.0,1300.0,80466
2020-09-01,1348.1666259765625,1467.3333740234375,1332.6666259765625,1456.8333740234375,96867
2020-09-02,1240.8333740234375,1306.5,1150.0,1266.3333740234375,87132
2020-09-03,1117.1666259765625,1200.0,1100.0,1181.6666259765625,78468
2020-09-04,1171.1666259765625,1186.3333740234375,1000.0,1100.0,104427
2020-09-07,1114.0,1167.0,1067.0,1166.6666259765625,32388
2020-09-08,906.6666870117188,1030.0,900.0,1002.6666870117188,175998
2020-09-09,1031.1666259765625,1050.0,946.6666870117188,975.0,102438
2020-09-10,1064.8333740234375,1132.6666259765625,1033.3333740234375,1066.6666259765625,115707
2020-09-11,1066.5,1080.0,1033.6666259765625,1066.3333740234375,35505
2020-09-14,1209.1666259765625,1215.0,1093.6666259765625,1093.6666259765625,77037
2020-09-15,1295.3333740234375,1314.6666259765625,1252.5,1283.3333740234375,110163
2020-09-16,1299.1666259765625,1426.6666259765625,1290.0,1333.3333740234375,75975
2020-09-17,1236.0,1300.0,1219.0,1260.0,51579
2020-09-18,1353.6666259765625,1366.6666259765625,1287.0,1320.0,58347
2020-09-21,1410.6666259765625,1426.6666259765625,1240.1666259765625,1379.1666259765625,99159
2020-09-22,1377.1666259765625,1379.3333740234375,1300.3333740234375,1359.6666259765625,127761
2020-09-23,1278.8333740234375,1333.3333740234375,1259.1666259765625,1313.3333740234375,129195
2020-09-24,1246.5,1293.3333740234375,1200.6666259765625,1263.3333740234375,85914
2020-09-25,1306.8333740234375,1310.0,1283.3333740234375,1283.3333740234375,44265
2020-09-28,1353.6666259765625,1364.0,1325.0,1350.0,71427
2020-09-29,1371.0,1398.3333740234375,1326.6666259765625,1341.6666259765625,57207
2020-09-30,1384.6666259765625,1416.6666259765625,1370.8333740234375,1396.6666259765625,40314
2020-10-01,1463.0,1466.3333740234375,1409.6666259765625,1413.1666259765625,53121
2020-10-02,1405.6666259765625,1449.3333740234375,1383.3333740234375,1416.6666259765625,94191
