Price,Close,High,Low,Open,Volume
Ticker,TSM.BA,TSM.BA,TSM.BA,TSM.BA,TSM.BA
Date,,,,,
2020-08-10,30341.724609375,30341.724609375,30341.724609375,30341.724609375,0
2020-08-11,30572.15625,30572.15625,30001.811908323933,30001.811908323933,53
2020-08-12,31311.455078125,31311.455078125,31242.47390314446,31242.47390314446,2
2020-08-13,30872.078125,30872.078125,30582.157215162075,30591.654624277457,9
2020-08-14,29601.423828125,30377.712033009884,29601.423828125,30377.712033009884,5
2020-08-18,31094.013671875,31094.013671875,30395.70425784704,30407.20112006797,11
2020-08-19,31104.51171875,31104.51171875,29570.930226236822,29570.930226236822,8
2020-08-20,30956.052734375,30956.052734375,30640.138940706038,30841.58397052976,47
2020-08-21,31632.3671875,31632.867051081863,31081.51752028618,31081.51752028618,32
2020-08-24,31600.876953125,31891.29770495223,31600.876953125,31891.29770495223,4
2020-08-25,32091.240234375,32091.240234375,31491.403968311915,31734.337656067462,183
2020-08-26,31681.357421875,31989.27342332459,31681.357421875,31891.300150136085,12
2020-08-27,30328.2265625,31191.491066866645,30328.2265625,31191.491066866645,9
2020-08-28,30544.66015625,30733.608566210765,30069.789813756015,30733.608566210765,4
2020-08-31,30544.66015625,30544.66015625,30544.66015625,30544.66015625,0
2020-09-01,30901.5703125,30901.5703125,30791.6003113879,30791.6003113879,6
2020-09-02,30945.556640625,30945.556640625,30945.556640625,30945.556640625,2
2020-09-03,29754.880859375,29754.880859375,29754.880859375,29754.880859375,1
2020-09-04,29791.87109375,29791.87109375,29791.87109375,29791.87109375,3
2020-09-07,29791.87109375,29791.87109375,29791.87109375,29791.87109375,0
2020-09-08,28892.1171875,28892.1171875,28892.1171875,28892.1171875,1
2020-09-09,29215.02734375,29215.02734375,29215.02734375,29215.02734375,2
2020-09-10,29215.02734375,29215.02734375,29215.02734375,29215.02734375,0
2020-09-11,30691.625,31178.99200936482,30292.23398412052,30292.23398412052,20
2020-09-14,31519.396484375,32391.158528728432,30926.05844157252,31469.410128620788,13
2020-09-15,32990.9921875,33321.90183641099,32990.9921875,33065.47185168087,164
2020-09-16,33552.34765625,34408.114221920485,32991.00077935283,32991.00077935283,14
2020-09-17,32129.98046875,33792.09147705173,31992.51264099572,33792.09147705173,19
2020-09-18,32866.80078125,32992.27138910858,31857.037323583343,32342.423619323108,19
2020-09-21,33053.265625,33053.265625,32892.30328975228,32892.30328975228,16
2020-09-22,35281.25390625,35281.25390625,33042.27720997924,33053.274639610405,16
2020-09-23,35505.1796875,35595.15860176852,35205.749856128656,35595.15860176852,20
2020-09-24,34191.9921875,36291.50047971491,34191.9921875,35991.570723684206,28
2020-09-25,34491.92578125,34491.92578125,34027.03460767663,34234.98592832881,7
2020-09-28,34494.92578125,34756.864469326036,34348.46006444412,34756.864469326036,10
2020-09-29,35975.58203125,35975.58203125,34674.88638255458,34674.88638255458,6
2020-09-30,35913.58984375,36335.99092690195,34971.81038734967,34971.81038734967,26
2020-10-01,35913.58984375,35913.58984375,35913.58984375,35913.58984375,0
2020-10-02,37020.3359375,37020.3359375,36310.002180617725,36310.002180617725,28
2020-10-05,38821.91015625,38852.4030165875,37673.679005508246,37991.1046827921,28
