Price,Close,High,Low,Open,Volume
Ticker,WMT.BA,WMT.BA,WMT.BA,WMT.BA,WMT.BA
Date,,,,,
2020-08-10,1889.018798828125,1897.8499232458828,1820.8695329258164,1838.0317870576914,4644
2020-08-11,1877.8546142578125,1899.5157177276049,1848.6953003893702,1899.5157177276049,5058
2020-08-12,1939.3392333984375,1946.1707446930934,1879.521100942256,1879.521100942256,7470
2020-08-13,1912.9049072265625,1939.5655615496898,1886.5774302290024,1939.5655615496898,5976
2020-08-14,1903.57373046875,1939.5656707507221,1849.2525206584828,1939.2323713634132,12888
2020-08-18,1947.8973388671875,1966.2264878559604,1861.4166974849265,1965.8933104843054,14187
2020-08-19,1941.0653076171875,1949.5634045086354,1866.7485764737278,1949.5634045086354,5742
2020-08-20,1939.06591796875,1954.5624488934811,1899.9080579259648,1949.2302685394582,7287
2020-08-21,1960.0611572265625,1974.5579115136247,1899.5746996839932,1962.8938970211225,8073
2020-08-24,1951.896728515625,1961.2278930575565,1919.5705859531192,1960.228116710706,5523
2020-08-25,1931.234130859375,1958.7279736811317,1885.9110289030725,1956.2285334246083,7971
2020-08-26,1863.4161376953125,1932.9005794779262,1818.426211361246,1916.2375624366518,7389
2020-08-27,1914.404541015625,1943.3980463736393,1856.2508195964754,1882.9115955405405,9930
2020-08-28,1996.5531005859375,2016.215325459032,1884.5781645490697,1966.2265147282874,11280
2020-08-31,1980.889892578125,1996.2197124925904,1899.5747233872194,1996.2197124925904,6909
2020-09-01,2095.531005859375,2114.859931866944,2016.2153832135964,2016.2153832135964,23880
2020-09-02,2068.369873046875,2106.19489516428,2044.541959284352,2106.19489516428,7404
2020-09-03,1987.88818359375,2107.1948387194657,1959.0612654002748,2098.8632085063346,19281
2020-09-04,2017.2152099609375,2034.5447059588687,1887.4110058240067,1987.8885207865944,7848
2020-09-07,1967.72607421875,2056.2063865413356,1959.5612762487099,1999.5523227027652,1836
2020-09-08,1908.072998046875,1972.891866449492,1899.5748998108788,1966.2266100004358,6723
2020-09-09,1982.7227783203125,2002.5517134849772,1910.5723037792268,1910.5723037792268,9447
2020-09-10,1971.724853515625,2043.2088372568865,1952.8958202790898,2043.2088372568865,10827
2020-09-11,1964.5599365234375,1996.719358755849,1949.5632957866173,1996.719358755849,6678
2020-09-14,1989.387939453125,2017.881559579604,1950.3966698063641,1982.8893945119983,5730
2020-09-15,1971.0582275390625,2028.5453429757838,1940.7316505987044,1992.8867091539923,5964
2020-09-16,2048.540283203125,2089.36437374493,1967.225157260793,2052.8725629411656,12327
2020-09-17,2008.050537109375,2049.541250223659,1982.8895429299043,2048.541474004038,4266
2020-09-18,2054.706787109375,2062.8714632939586,1999.2190863611781,2016.2152816402497,8382
2020-09-21,2153.517822265625,2169.8474179836426,2054.7066943577684,2072.8691316513464,16452
2020-09-22,2258.328125,2280.8230934836474,2094.364799163638,2153.518316167831,14841
2020-09-23,2279.989501953125,2315.8147325051823,2233.666621863463,2306.1503924802582,19896
2020-09-24,2190.843017578125,2325.8128160373203,2129.523486800641,2299.4854552307393,13806
2020-09-25,2231.500732421875,2234.999949520207,2166.5152720242845,2232.8336861449493,19896
2020-09-28,2226.501708984375,2264.493206488374,2183.178152841814,2264.493206488374,16704
2020-09-29,2260.6611328125,2272.8249161897447,2215.8376618523034,2232.833860514347,20259
2020-09-30,2273.323974609375,2331.4776948729177,2266.159075806784,2266.159075806784,16653
2020-10-01,2357.9716796875,2366.1365983263277,2287.6541828692707,2287.6541828692707,23640
2020-10-02,2364.97021484375,2387.7983529867065,2296.4855563289343,2357.8050718853274,21639
2020-10-05,2410.793212890625,2440.1201394926975,2359.971345486569,2359.971345486569,19071
2020-10-06,2383.299560546875,2447.785120318862,2380.8001202456353,2405.2946351977853,18486
2020-10-07,2387.965576171875,2423.9575212177983,2366.3036760322366,2397.7966279474194,16086
2020-10-08,2413.959228515625,2432.7882624171393,2391.131090487351,2432.7882624171393,14493
2020-10-09,2495.44091796875,2499.4400220039565,2437.6206201550385,2456.1164763178676,22116
2020-10-13,2604.249755859375,2626.0783611373026,2516.103001705087,2516.103001705087,24078
2020-10-14,2651.5732421875,2656.4054125482417,2572.0910328169375,2618.080738867829,25662
2020-10-15,2730.7216796875,2779.0443534380993,2658.737801192664,2663.070326974196,22230
2020-10-16,2727.888916015625,2811.0370377594895,2687.731163847964,2766.047116109974,30075
2020-10-19,2638.076171875,2758.2157805797556,2605.9166232650896,2699.7288738231828,22914
2020-10-20,2721.890869140625,2757.716103778945,2580.089350892055,2662.7373590339093,23643
2020-10-21,2911.681396484375,2947.8400494780876,2742.3860456904845,2753.0504062433997,20319
2020-10-22,1496.9984130859375,1501.9972945610207,1426.3474735427574,1456.3407623932571,55854
2020-10-23,1464.672119140625,1599.6419048634814,1411.6839810420222,1506.3294197321143,44802
2020-10-26,1318.371826171875,1433.0129394341407,1297.7098204057443,1429.0138336701784,31845
2020-10-27,1322.3702392578125,1358.3621722803402,1285.2119416794296,1316.3715837540578,26808
2020-10-28,1239.22216796875,1304.707486243823,1224.7254181215965,1304.707486243823,51828
2020-10-29,1232.390869140625,1251.053441294951,1203.0641792575486,1234.7237211706667,43734
2020-10-30,1195.3990478515625,1234.3903200451252,1176.9031879648726,1232.3907676249426,21993
2020-11-02,1197.7318115234375,1200.397840539768,1142.2442359478525,1196.3987359937798,37503
2020-11-03,1235.7232666015625,1246.387504380992,1198.3982513090866,1199.7313267976335,32820
2020-11-04,1206.396484375,1242.3884249015323,1199.7313508844145,1225.3922307640032,25491
2020-11-05,1228.0584716796875,1232.724053260286,1198.065185712284,1216.394334663702,21408
2020-11-06,1212.56201171875,1234.7236780802154,1199.7315090657962,1233.0574249986241,8814
