Price,Close,High,Low,Open,Volume
Ticker,XOM.BA,XOM.BA,XOM.BA,XOM.BA,XOM.BA
Date,,,,,
2020-08-10,1150.4498291015625,1158.942077080167,1098.996797231193,1098.996797231193,13600
2020-08-11,1180.4222412109375,1228.877999737159,1161.9391168246468,1188.9144875505845,17415
2020-08-12,1167.6064453125,1179.0976512355585,1129.135886352696,1179.0976512355585,7915
2020-08-13,1133.132568359375,1166.6069431742242,1112.6482494428255,1166.6069431742242,10805
2020-08-14,1112.148681640625,1134.1318541438538,1084.669716011589,1133.1326190300706,8865
2020-08-18,1086.16845703125,1129.1355625071872,1076.176106920567,1119.1432123965042,3791
2020-08-19,1110.150146484375,1116.1455568164238,1073.1784494367405,1099.1585608756188,6339
2020-08-20,1102.1563720703125,1111.1494884335336,1081.1724338894635,1110.1502532820646,6275
2020-08-21,1096.1611328125,1115.1466036634001,1081.1726031933683,1081.1726031933683,11291
2020-08-24,1126.6376953125,1134.131959361142,1099.1587271341464,1099.1587271341464,6909
2020-08-25,1079.6734619140625,1113.1478357910833,1070.180729023564,1099.1585452156119,12378
2020-08-26,1032.7093505859375,1079.1737770999637,1029.2120281601506,1079.1737770999637,13809
2020-08-27,993.7393188476562,1029.212165322359,981.2488799481131,1029.212165322359,8115
2020-08-28,1071.679443359375,1099.158403445513,988.74294564485,988.74294564485,5254
2020-08-31,1033.7086181640625,1052.1944658547684,998.2357752981136,1052.1944658547684,5650
2020-09-01,998.7354125976562,1068.1822471904898,989.2426798115855,1068.1822471904898,6746
2020-09-02,978.2513427734375,1018.2207541227096,972.2559310710466,998.2360484480736,7244
2020-09-03,962.2632446289062,1023.2165758047768,959.2655398169782,1023.2165758047768,4096
2020-09-04,973.7545166015625,989.2426592463282,937.2824387606626,962.2633139941557,8542
2020-09-07,997.2365112304688,1047.1982602901114,978.2510465878046,1047.1982602901114,1610
2020-09-08,945.7759399414062,974.2541378160286,913.8004195207776,974.2541378160286,6584
2020-09-09,964.7615356445312,979.2504452942937,945.7760678276011,979.2504452942937,6531
2020-09-10,957.2671508789062,989.2426715763228,954.2694458135235,979.2503213583801,7817
2020-09-11,963.76220703125,964.2618245569272,947.2748286839036,964.2618245569272,6175
2020-09-14,954.2695922851562,964.2619440368333,949.2734164093177,963.7623264492495,5682
2020-09-15,931.2871704101562,993.7393679966742,928.2894649260033,993.7393679966742,4785
2020-09-16,1007.7286987304688,1019.2199035251145,959.265791553049,989.2428475390818,8842
2020-09-17,995.7377319335938,1037.205986700522,979.2503535322849,1037.205986700522,7785
2020-09-18,1032.209716796875,1039.2043615379962,979.2502637569579,999.2349630173039,4735
2020-09-21,1024.2159423828125,1029.212117711509,978.7507468916731,1029.212117711509,6671
2020-09-22,1036.2064208984375,1054.1926461406476,983.2469799074855,1010.2263177708007,18903
2020-09-23,1037.2059326171875,1049.1967526474439,999.2350025213752,1049.1967526474439,13700
2020-09-24,989.2428588867188,1033.2092081705728,959.2658025568181,1033.2092081705728,6717
2020-09-25,1020.7185668945312,1027.2135944861263,977.2518437815482,998.2357790774711,3716
2020-09-28,1024.7156982421875,1044.2007846543988,1005.7302294302893,1027.213786243753,5460
2020-09-29,1017.2213745117188,1024.2160205054142,994.2389662467192,1023.2167853634578,5924
2020-09-30,998.7354125976562,1032.2097861064321,996.2373250223745,1032.2097861064321,5936
2020-10-01,983.7470703125,989.2428640013966,967.25968924581,989.2428640013966,11618
2020-10-02,998.2359619140625,1007.229078688063,967.2596708036161,979.2504931689502,9348
2020-10-05,1029.7122802734375,1034.208840449304,998.2363590423718,1014.2241285565639,10850
2020-10-06,1014.7233276367188,1058.6896756583983,1009.2275341340088,1039.2045896033358,46040
2020-10-07,1019.719482421875,1049.6965372701418,1004.2313374169372,1014.2236890330261,16554
2020-10-08,1080.6729736328125,1085.6691501174764,1029.2123558407739,1029.2123558407739,13915
2020-10-09,1095.6614990234375,1103.6553813692537,1065.1848225800131,1083.6706755047132,12624
2020-10-13,1092.663818359375,1104.1550244966706,1070.6806414010703,1099.1588479152379,13759
2020-10-14,1127.1370849609375,1133.1324949873256,1088.6665372916148,1091.1646248026098,8245
2020-10-15,1154.1165771484375,1172.102809519582,1079.1739422686687,1126.1379934599906,9644
2020-10-16,1138.1287841796875,1188.5901569637738,1133.6322262088283,1173.1020128419254,23374
2020-10-19,1119.143310546875,1189.0897674560547,1109.6505771092006,1149.120363507952,20668
2020-10-20,1140.12744140625,1162.1106173141707,1079.6737076594682,1109.1511480814527,19488
2020-10-21,1183.09423828125,1198.0827632594753,1128.6359308603649,1148.1210133320576,8991
2020-10-22,1305.5008544921875,1312.9951188692953,1169.604860453965,1181.0960658321972,20625
2020-10-23,1261.534423828125,1338.9751508353959,1190.5887255375928,1318.9904470915842,12249
2020-10-26,1129.135986328125,1256.0388803667727,1109.1512786055034,1256.0388803667727,10070
2020-10-27,1103.6551513671875,1139.1279968841952,1089.1662426348885,1129.1356460343338,5727
2020-10-28,1001.7332763671875,1093.1632961054395,999.2351883961969,1093.1632961054395,18453
2020-10-29,1033.7086181640625,1049.196760823843,969.2579599991693,1002.2327153393472,4592
2020-10-30,1011.2259521484375,1059.1892384163475,999.23513058146,1057.1907681551847,2152
2020-11-02,1060.1884765625,1067.1831224964656,978.2511956217601,1011.2259550247408,46144
2020-11-03,1044.70068359375,1091.664750670657,1019.7197968507144,1069.1819526019249,26585
2020-11-04,1020.218994140625,1093.1631533690927,1016.222053908928,1044.7002530597683,5124
2020-11-05,1026.214599609375,1044.200834071857,999.2352479156524,1039.2046578322786,9847
